county,race,candidate,votes
Carson City,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","TAO, JERRY",1345
Carson City,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","RUTLEDGE, JOHN",1311
Carson City,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)",NONE OF THESE CANDIDATES,939
Carson City,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","LEFEBVRE, ALAN J.",390
Carson City,"UNIVERSITY BOARD OF REGENTS, DISTRICT 9 (NONPARTISAN)","DEL CARLO, CAROL (INCUMBENT)",7767
Carson City,ASSESSOR (NONPARTISAN),"DAWLEY, DAVID A. (INCUMBENT)",7948
Carson City,CLERK-RECORDER (NONPARTISAN),"ROWLATT, AUBREY",7791
Carson City,DISTRICT ATTORNEY (NONPARTISAN),"WOODBURY, JASON D. (INCUMBENT)",7941
Carson City,TREASURER (NONPARTISAN),"ROBERTSON, GAYLE (INCUMBENT)",7865
Carson City,BOARD OF SUPERVISORS WARD 3 (NONPARTISAN),"BAGWELL, LORI (INCUMBENT)",7672
Carson City,SCHOOL TRUSTEE DISTRICT 1 (NONPARTISAN),"RAMIREZ, LUPE",7664
Carson City,SCHOOL TRUSTEE DISTRICT 3 (NONPARTISAN),"WILKE-MCCULLOCH, STACIE (INCUMBENT)",7741
Carson City,SCHOOL TRUSTEE DISTRICT 4 (NONPARTISAN),"VARNER, RICHARD",7677
Carson City,SCHOOL TRUSTEE DISTRICT 6 (NONPARTISAN),"CARINE, DONALD (INCUMBENT)",7650
Carson City,JUSTICE OF THE PEACE DEPARTMENT 1 (NONPARTISAN),"ARMSTRONG, TOM (INCUMBENT)",7848
Churchill,UNITED STATES SENATOR (DEMOCRATIC),"ROSEN, JACKY",584
Churchill,UNITED STATES SENATOR (DEMOCRATIC),NONE OF THESE CANDIDATES,122
Churchill,UNITED STATES SENATOR (DEMOCRATIC),"KNIGHT, DAVID DREW",52
Churchill,UNITED STATES SENATOR (DEMOCRATIC),"RHEINHART, ALLEN",52
Churchill,UNITED STATES SENATOR (DEMOCRATIC),"MAHENDRA, SUJEET ""BOBBY""",33
Churchill,UNITED STATES SENATOR (DEMOCRATIC),"SBAIH, JESSE",26
Churchill,UNITED STATES SENATOR (DEMOCRATIC),"BURLEIGH, DANNY",22
Churchill,UNITED STATES SENATOR (REPUBLICAN),"HELLER, DEAN (INCUMBENT)",2285
Churchill,UNITED STATES SENATOR (REPUBLICAN),"HECK, TOM",576
Churchill,UNITED STATES SENATOR (REPUBLICAN),NONE OF THESE CANDIDATES,122
Churchill,UNITED STATES SENATOR (REPUBLICAN),"GAZALA, SARAH",79
Churchill,UNITED STATES SENATOR (REPUBLICAN),"BROOKS, SHERRY",77
Churchill,UNITED STATES SENATOR (REPUBLICAN),"HARRELL, VIC",12
Churchill,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","KOBLE, CLINT",220
Churchill,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","SHEPHERD, RICK",180
Churchill,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","FOGARTY, PATRICK",154
Churchill,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","SCHOFIELD JR., JACK L.",98
Churchill,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","ALM, VANCE",95
Churchill,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","HURLEY, JESSE DOUGLAS",61
Churchill,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)","AMODEI, MARK E. (INCUMBENT)",2312
Churchill,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)","ANGLE, SHARRON",526
Churchill,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)","BECK, JOEL",224
Churchill,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)","LUETKEHANS, IAN",38
Churchill,GOVERNOR (DEMOCRATIC),"SISOLAK, STEVE",378
Churchill,GOVERNOR (DEMOCRATIC),"GIUNCHIGLIANI, CHRISTINA ""CHRIS G""",298
Churchill,GOVERNOR (DEMOCRATIC),NONE OF THESE CANDIDATES,119
Churchill,GOVERNOR (DEMOCRATIC),"BONAVENTURA, JOHN",37
Churchill,GOVERNOR (DEMOCRATIC),"JONES, DAVID E.",27
Churchill,GOVERNOR (DEMOCRATIC),"THORNS, HENRY",25
Churchill,GOVERNOR (DEMOCRATIC),"DEWAN, ASHEESH",13
Churchill,GOVERNOR (REPUBLICAN),"LAXALT, ADAM PAUL",2547
Churchill,GOVERNOR (REPUBLICAN),"SCHWARTZ, DAN",178
Churchill,GOVERNOR (REPUBLICAN),NONE OF THESE CANDIDATES,139
Churchill,GOVERNOR (REPUBLICAN),"FISHER, JARED L.",112
Churchill,GOVERNOR (REPUBLICAN),"CARLISLE, STEPHANIE",74
Churchill,GOVERNOR (REPUBLICAN),"BOYD, WILLIAM ""BILL""",67
Churchill,GOVERNOR (REPUBLICAN),"LUSAK, STAN",16
Churchill,GOVERNOR (REPUBLICAN),"CONQUEST, FREDERICK L.",12
Churchill,GOVERNOR (REPUBLICAN),"DUNDAS, EDWARD F.",12
Churchill,LIEUTENANT GOVERNOR (DEMOCRATIC),"MARSHALL, KATE",622
Churchill,LIEUTENANT GOVERNOR (DEMOCRATIC),"HANSEN, LAURIE L.",140
Churchill,LIEUTENANT GOVERNOR (DEMOCRATIC),NONE OF THESE CANDIDATES,113
Churchill,LIEUTENANT GOVERNOR (REPUBLICAN),"ROBERSON, MICHAEL",1331
Churchill,LIEUTENANT GOVERNOR (REPUBLICAN),"JONES, BRENT A.",535
Churchill,LIEUTENANT GOVERNOR (REPUBLICAN),NONE OF THESE CANDIDATES,534
Churchill,LIEUTENANT GOVERNOR (REPUBLICAN),"HOOVER, EUGENE",418
Churchill,LIEUTENANT GOVERNOR (REPUBLICAN),"MEYERS, GARY ANTHONY",161
Churchill,LIEUTENANT GOVERNOR (REPUBLICAN),"LAFATA, SCOTT ANTHONY",99
Churchill,SECRETARY OF STATE (REPUBLICAN),"CEGAVSKE, BARBARA K. (INCUMBENT)",1656
Churchill,SECRETARY OF STATE (REPUBLICAN),"ALDRIDGE, ERNEST C.",958
Churchill,SECRETARY OF STATE (REPUBLICAN),NONE OF THESE CANDIDATES,439
Churchill,STATE TREASURER (REPUBLICAN),"BEERS, BOB",1995
Churchill,STATE TREASURER (REPUBLICAN),"UEHARA, DEREK",591
Churchill,STATE TREASURER (REPUBLICAN),NONE OF THESE CANDIDATES,464
Churchill,ATTORNEY GENERAL (DEMOCRATIC),"FORD, AARON",504
Churchill,ATTORNEY GENERAL (DEMOCRATIC),"MACKIE, STUART J.",220
Churchill,ATTORNEY GENERAL (DEMOCRATIC),NONE OF THESE CANDIDATES,144
Churchill,ATTORNEY GENERAL (REPUBLICAN),"DUNCAN, WES",1820
Churchill,ATTORNEY GENERAL (REPUBLICAN),"MUELLER, CRAIG",915
Churchill,ATTORNEY GENERAL (REPUBLICAN),NONE OF THESE CANDIDATES,352
Churchill,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","ABERASTURI, LEON",1596
Churchill,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","CADISH, ELISSA",1007
Churchill,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","RUTLEDGE, JOHN",642
Churchill,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)",NONE OF THESE CANDIDATES,623
Churchill,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","TAO, JERRY",381
Churchill,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","LEFEBVRE, ALAN J.",191
Churchill,"UNIVERSITY BOARD OF REGENTS, DISTRICT 9 (NONPARTISAN)","DEL CARLO, CAROL (INCUMBENT)",4012
Churchill,CLERK/TREASURER (REPUBLICAN),"ROTHERY, LINDA",2273
Churchill,CLERK/TREASURER (REPUBLICAN),"BARRENCHEA, CORINE ""RINNIE""",834
Churchill,BOARD OF SCHOOL TRUSTEES (NONPARTISAN),"SCHANK, CARMEN (INCUMBENT)",2231
Churchill,BOARD OF SCHOOL TRUSTEES (NONPARTISAN),"BUCKMASTER, FREDERICK D.",2076
Churchill,BOARD OF SCHOOL TRUSTEES (NONPARTISAN),"MCDONALD, TEDD",1995
Churchill,BOARD OF SCHOOL TRUSTEES (NONPARTISAN),"GETTO, AMBER N.",1926
Churchill,BOARD OF SCHOOL TRUSTEES (NONPARTISAN),"HYDE, MATT (INCUMBENT)",1733
Churchill,BOARD OF SCHOOL TRUSTEES (NONPARTISAN),"HENDRIX, CLAY (INCUMBENT)",1331
Churchill,BOARD OF SCHOOL TRUSTEES (NONPARTISAN),"JULIAN, PATTY",1241
Churchill,BOARD OF SCHOOL TRUSTEES (NONPARTISAN),"SMOTHERMAN, DEBY",1144
Churchill,BOARD OF SCHOOL TRUSTEES (NONPARTISAN),"LINGENFELTER, JAY",872
Churchill,BOARD OF SCHOOL TRUSTEES (NONPARTISAN),"PARMENTER, BOBBY J.",519
Churchill,BOARD OF SCHOOL TRUSTEES (NONPARTISAN),"WIERSMA JR., RICHARD HARRY",421
Churchill,BOARD OF SCHOOL TRUSTEES (NONPARTISAN),"MARTELL, DANTE A.",245
Churchill,SHERIFF (NONPARTISAN),"HICKOX, RICHARD C.",1930
Churchill,SHERIFF (NONPARTISAN),"EAST, RAY",1010
Churchill,SHERIFF (NONPARTISAN),"JONES, JARED",726
Churchill,SHERIFF (NONPARTISAN),"MOSER, JOHN",581
Churchill,SHERIFF (NONPARTISAN),"CHRISTIE, WALTER H. ""BUTCH""",281
Clark,UNITED STATES SENATOR (DEMOCRATIC),"ROSEN, JACKY",77996
Clark,UNITED STATES SENATOR (DEMOCRATIC),NONE OF THESE CANDIDATES,6637
Clark,UNITED STATES SENATOR (DEMOCRATIC),"KNIGHT, DAVID DREW",4442
Clark,UNITED STATES SENATOR (DEMOCRATIC),"RHEINHART, ALLEN",3153
Clark,UNITED STATES SENATOR (DEMOCRATIC),"SBAIH, JESSE",3082
Clark,UNITED STATES SENATOR (DEMOCRATIC),"MAHENDRA, SUJEET ""BOBBY""",2638
Clark,UNITED STATES SENATOR (DEMOCRATIC),"BURLEIGH, DANNY",2369
Clark,UNITED STATES SENATOR (REPUBLICAN),"HELLER, DEAN (INCUMBENT)",50777
Clark,UNITED STATES SENATOR (REPUBLICAN),"HECK, TOM",13250
Clark,UNITED STATES SENATOR (REPUBLICAN),"BROOKS, SHERRY",3060
Clark,UNITED STATES SENATOR (REPUBLICAN),NONE OF THESE CANDIDATES,2906
Clark,UNITED STATES SENATOR (REPUBLICAN),"GAZALA, SARAH",2249
Clark,UNITED STATES SENATOR (REPUBLICAN),"HARRELL, VIC",754
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 1 (DEMOCRATIC)","TITUS, DINA (INCUMBENT)",20897
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 1 (DEMOCRATIC)","D'SILVA, REUBEN",5659
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 1 (REPUBLICAN)","BENTLEY, JOYCE",6444
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 1 (REPUBLICAN)","HORNE, FRED",5235
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 3 (DEMOCRATIC)","LEE, SUSIE",25474
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 3 (DEMOCRATIC)","WEISS, MICHAEL",3115
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 3 (DEMOCRATIC)","STOLTZ, ERIC",2758
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 3 (DEMOCRATIC)","LOVE, JOHN ""JACK""",2208
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 3 (DEMOCRATIC)","HART, RICHARD ""RICK""",1847
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 3 (DEMOCRATIC)","SCHIFFMAN, STEVEN MITCHELL ""THE MENCH""",1338
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 3 (DEMOCRATIC)","PINJUV, GUY",1331
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 3 (REPUBLICAN)","TARKANIAN, DANNY",15257
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 3 (REPUBLICAN)","MORTENSEN, MICHELLE",8491
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 3 (REPUBLICAN)","HAMMOND, SCOTT",5804
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 3 (REPUBLICAN)","MCKEON, DAVID",1698
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 3 (REPUBLICAN)","TEIJEIRO, ANNETTE",1225
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 3 (REPUBLICAN)","CARTER, PATRICK",942
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 3 (REPUBLICAN)","JONES, STEPHANIE ""BDYBYSTEPH""",450
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 3 (REPUBLICAN)","HAMILTON, EDDIE ""MISTERMAGO""",360
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 3 (REPUBLICAN)","LA CROIX, THOMAS MARK",345
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (DEMOCRATIC)","HORSFORD, STEVEN A.",20846
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (DEMOCRATIC)","SPEARMAN, PATRICIA ""PAT""",5097
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (DEMOCRATIC)","VILELA, AMY",3048
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (DEMOCRATIC)","STEPHENS, ALLISON",1921
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (DEMOCRATIC)","ANZALONE, JOHN",1870
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (DEMOCRATIC)","ZELLER, SID",560
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)","HARDY, CRESENT",11083
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)","GIBBS, DAVID GLENN",4405
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)","WEGNER, KENNETH A.",2908
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)","TOWNSEND, BILL",2559
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)","MILLER, JEFF",1798
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)","MONROE, MIKE",617
Clark,GOVERNOR (DEMOCRATIC),"SISOLAK, STEVE",55146
Clark,GOVERNOR (DEMOCRATIC),"GIUNCHIGLIANI, CHRISTINA ""CHRIS G""",36111
Clark,GOVERNOR (DEMOCRATIC),"BONAVENTURA, JOHN",3321
Clark,GOVERNOR (DEMOCRATIC),NONE OF THESE CANDIDATES,2517
Clark,GOVERNOR (DEMOCRATIC),"THORNS, HENRY",2243
Clark,GOVERNOR (DEMOCRATIC),"JONES, DAVID E.",1599
Clark,GOVERNOR (DEMOCRATIC),"DEWAN, ASHEESH",990
Clark,GOVERNOR (REPUBLICAN),"LAXALT, ADAM PAUL",49364
Clark,GOVERNOR (REPUBLICAN),"SCHWARTZ, DAN",7342
Clark,GOVERNOR (REPUBLICAN),"FISHER, JARED L.",4174
Clark,GOVERNOR (REPUBLICAN),"BOYD, WILLIAM ""BILL""",4027
Clark,GOVERNOR (REPUBLICAN),"CARLISLE, STEPHANIE",3537
Clark,GOVERNOR (REPUBLICAN),NONE OF THESE CANDIDATES,3017
Clark,GOVERNOR (REPUBLICAN),"LUSAK, STAN",628
Clark,GOVERNOR (REPUBLICAN),"CONQUEST, FREDERICK L.",525
Clark,GOVERNOR (REPUBLICAN),"DUNDAS, EDWARD F.",337
Clark,LIEUTENANT GOVERNOR (DEMOCRATIC),"MARSHALL, KATE",61184
Clark,LIEUTENANT GOVERNOR (DEMOCRATIC),"HANSEN, LAURIE L.",24716
Clark,LIEUTENANT GOVERNOR (DEMOCRATIC),NONE OF THESE CANDIDATES,11180
Clark,LIEUTENANT GOVERNOR (REPUBLICAN),"ROBERSON, MICHAEL",33744
Clark,LIEUTENANT GOVERNOR (REPUBLICAN),"JONES, BRENT A.",13633
Clark,LIEUTENANT GOVERNOR (REPUBLICAN),NONE OF THESE CANDIDATES,7664
Clark,LIEUTENANT GOVERNOR (REPUBLICAN),"HOOVER, EUGENE",6480
Clark,LIEUTENANT GOVERNOR (REPUBLICAN),"MEYERS, GARY ANTHONY",4905
Clark,LIEUTENANT GOVERNOR (REPUBLICAN),"LAFATA, SCOTT ANTHONY",4051
Clark,SECRETARY OF STATE (REPUBLICAN),"CEGAVSKE, BARBARA K. (INCUMBENT)",45402
Clark,SECRETARY OF STATE (REPUBLICAN),"ALDRIDGE, ERNEST C.",17867
Clark,SECRETARY OF STATE (REPUBLICAN),NONE OF THESE CANDIDATES,6682
Clark,STATE TREASURER (REPUBLICAN),"BEERS, BOB",47373
Clark,STATE TREASURER (REPUBLICAN),"UEHARA, DEREK",18419
Clark,STATE TREASURER (REPUBLICAN),NONE OF THESE CANDIDATES,4801
Clark,ATTORNEY GENERAL (DEMOCRATIC),"FORD, AARON",65473
Clark,ATTORNEY GENERAL (DEMOCRATIC),"MACKIE, STUART J.",19366
Clark,ATTORNEY GENERAL (DEMOCRATIC),NONE OF THESE CANDIDATES,12635
Clark,ATTORNEY GENERAL (REPUBLICAN),"DUNCAN, WES",41560
Clark,ATTORNEY GENERAL (REPUBLICAN),"MUELLER, CRAIG",23234
Clark,ATTORNEY GENERAL (REPUBLICAN),NONE OF THESE CANDIDATES,5664
Clark,"STATE SENATE, DISTRICT 8 (DEMOCRATIC)","LOOP, MARILYN DONDERO",4590
Clark,"STATE SENATE, DISTRICT 8 (DEMOCRATIC)","ALVARADO, STEPHANIE",2398
Clark,"STATE SENATE, DISTRICT 8 (REPUBLICAN)","WEBER, VALERIE",2533
Clark,"STATE SENATE, DISTRICT 8 (REPUBLICAN)","RODIMER, DAN",2391
Clark,"STATE SENATE, DISTRICT 8 (REPUBLICAN)","HELGELIEN, ELIZABETH",1365
Clark,"STATE SENATE, DISTRICT 9 (DEMOCRATIC)","SCHEIBLE, MELANIE",4424
Clark,"STATE SENATE, DISTRICT 9 (DEMOCRATIC)","MCCULLOUGH, LARRY",901
Clark,"STATE SENATE, DISTRICT 9 (DEMOCRATIC)","WEST, BRANDON",601
Clark,"STATE SENATE, DISTRICT 9 (DEMOCRATIC)","REBOLLO, JUSTIN ALLEN",450
Clark,"STATE SENATE, DISTRICT 10 (DEMOCRATIC)","CANCELA, YVANNA (INCUMBENT)",2854
Clark,"STATE SENATE, DISTRICT 10 (DEMOCRATIC)","HENDERSON, BRYCE",1871
Clark,"STATE SENATE, DISTRICT 20 (DEMOCRATIC)","PAZINA, JULIE",5014
Clark,"STATE SENATE, DISTRICT 20 (DEMOCRATIC)","AIZLEY, PAUL",1871
Clark,"STATE SENATE, DISTRICT 20 (REPUBLICAN)","PICKARD, KEITH",3696
Clark,"STATE SENATE, DISTRICT 20 (REPUBLICAN)","BROOKS, BYRON",2575
Clark,"STATE SENATE, DISTRICT 21 (DEMOCRATIC)","OHRENSCHALL, JAMES",3355
Clark,"STATE SENATE, DISTRICT 21 (DEMOCRATIC)","GLAZER, CHRISTINE",1522
Clark,"STATE SENATE, DISTRICT 21 (DEMOCRATIC)","CRADDOCK, JAY",841
Clark,"STATE ASSEMBLY, DISTRICT 2 (DEMOCRATIC)","SHERWOOD, JENNIE",2005
Clark,"STATE ASSEMBLY, DISTRICT 2 (DEMOCRATIC)","ORENTLICHER, DAVID",1715
Clark,"STATE ASSEMBLY, DISTRICT 2 (REPUBLICAN)","HAMBRICK, JOHN C. (INCUMBENT)",1928
Clark,"STATE ASSEMBLY, DISTRICT 2 (REPUBLICAN)","SMALL, JIM",1658
Clark,"STATE ASSEMBLY, DISTRICT 4 (DEMOCRATIC)","MUNK, CONNIE",2844
Clark,"STATE ASSEMBLY, DISTRICT 4 (DEMOCRATIC)","SMITH, TONY T.",1107
Clark,"STATE ASSEMBLY, DISTRICT 4 (REPUBLICAN)","MCARTHUR, RICHARD (INCUMBENT)",1727
Clark,"STATE ASSEMBLY, DISTRICT 4 (REPUBLICAN)","REZENDES, KENNETH",1109
Clark,"STATE ASSEMBLY, DISTRICT 4 (REPUBLICAN)","VEGA, LUIS",887
Clark,"STATE ASSEMBLY, DISTRICT 5 (REPUBLICAN)","BURKE, JASON",1221
Clark,"STATE ASSEMBLY, DISTRICT 5 (REPUBLICAN)","MILLER, MACK",1099
Clark,"STATE ASSEMBLY, DISTRICT 8 (DEMOCRATIC)","FRIERSON, JASON (INCUMBENT)",1632
Clark,"STATE ASSEMBLY, DISTRICT 8 (DEMOCRATIC)","WATSON, TIFFANY ANN",939
Clark,"STATE ASSEMBLY, DISTRICT 9 (REPUBLICAN)","CANNON, LINDA",1549
Clark,"STATE ASSEMBLY, DISTRICT 9 (REPUBLICAN)","KELLER, BARRY",653
