county name,race name,candidate,party,early votes,election day votes,absentee votes,total votes
Anne Arundel,Democratic Candidates ,"Rushern L. Baker, III and Elizabeth Embry",Democratic,"3,059",,0,"8,758"
Anne Arundel,Democratic Candidates ,Ralph Jaffe and Freda Jaffe,Democratic,127,,0,431
Anne Arundel,Democratic Candidates ,Ben Jealous and Susan Turnbull,Democratic,"4,879",,0,"14,903"
Anne Arundel,Democratic Candidates ,"James Hugh Jones, II and Charles S. Waters",Democratic,104,,0,450
Anne Arundel,Democratic Candidates ,Valerie Ervin and Marisol Johnson *,Democratic,393,,0,"1,266"
Anne Arundel,Democratic Candidates ,Rich Madaleno and Luwanda Jenkins,Democratic,812,,0,"1,891"
Anne Arundel,Democratic Candidates ,Alec Ross and Julie C. Verratti,Democratic,321,,0,"1,102"
Anne Arundel,Democratic Candidates ,Jim Shea and Brandon M. Scott,Democratic,"1,209",,0,"3,287"
Anne Arundel,Democratic Candidates ,Krish O'Mara Vignarajah and Sharon Y. Blake,Democratic,"1,443",,0,"4,424"
Anne Arundel,"Comptroller

Republican Candidates ",Anjali Reed Phukan,Republican,"6,013",,0,"21,497"
Anne Arundel,Democratic Candidates ,Peter Franchot,Democratic,"10,961",,0,"32,099"
Anne Arundel,"Attorney General

Republican Candidates ",Craig Wolf,Republican,"6,357",,0,"22,512"
Anne Arundel,Democratic Candidates ,Brian E. Frosh,Democratic,"11,002",,0,"31,886"
Anne Arundel,"U.S. Senator

Republican Candidates ",Tony Campbell,Republican,"1,810",,0,"6,652"
Anne Arundel,"U.S. Senator

Republican Candidates ",Chris Chaffee,Republican,"1,713",,0,"6,077"
Anne Arundel,"U.S. Senator

Republican Candidates ",Evan M. Cronhardt,Republican,166,,0,585
Anne Arundel,"U.S. Senator

Republican Candidates ",Nnabu Eze,Republican,118,,0,426
Anne Arundel,"U.S. Senator

Republican Candidates ",John R. Graziani,Republican,585,,0,"2,034"
Anne Arundel,"U.S. Senator

Republican Candidates ",Christina J. Grigorian,Republican,"1,137",,0,"4,004"
Anne Arundel,"U.S. Senator

Republican Candidates ",Albert Binyahmin Howard,Republican,88,,0,269
Anne Arundel,"U.S. Senator

Republican Candidates ",Bill Krehnbrink,Republican,135,,0,433
Anne Arundel,"U.S. Senator

Republican Candidates ","Gerald I. Smith, Jr.",Republican,234,,0,757
Anne Arundel,"U.S. Senator

Republican Candidates ",Blaine Taylor,Republican,162,,0,668
Anne Arundel,"U.S. Senator

Republican Candidates ",Brian Charles Vaeth,Republican,187,,0,713
Anne Arundel,Democratic Candidates ,Ben Cardin,Democratic,"10,576",,0,"29,338"
Anne Arundel,Democratic Candidates ,Erik Jetmir,Democratic,186,,0,706
Anne Arundel,Democratic Candidates ,Chelsea Manning,Democratic,542,,0,"2,152"
Anne Arundel,Democratic Candidates ,Marcia H. Morgan,Democratic,301,,0,"1,057"
Anne Arundel,Democratic Candidates ,"Jerome ""Jerry"" Segal",Democratic,313,,0,"1,478"
Anne Arundel,Democratic Candidates ,"Richard ""Rikki"" Vaughn",Democratic,168,,0,601
Anne Arundel,Democratic Candidates ,"Debbie ""Rica"" Wilson",Democratic,367,,0,"1,268"
Anne Arundel,Democratic Candidates ,Lih Young,Democratic,186,,0,636
Anne Arundel,"Representative in Congress

District 2
Republican Candidates ",Liz Matory,Republican,171,,0,568
Anne Arundel,"Representative in Congress

District 2
Republican Candidates ","Hubert Owens, Jr.",Republican,70,,0,289
Anne Arundel,"Representative in Congress

District 2
Republican Candidates ",Mark Shell,Republican,90,,0,369
Anne Arundel,"Representative in Congress

District 2
Republican Candidates ","Mitchell J. Toland, Jr.",Republican,27,,0,128
Anne Arundel,Democratic Candidates ,Jake Pretot,Democratic,340,,0,"1,527"
Anne Arundel,Democratic Candidates ,C.A. Dutch Ruppersberger,Democratic,"1,147",,0,"3,531"
Anne Arundel,"District 3
Republican Candidates ",Charles Anthony,Republican,810,,0,"3,253"
Anne Arundel,"District 3
Republican Candidates ","Thomas E. ""Pinkston"" Harris",Republican,606,,0,"2,508"
Anne Arundel,"District 3
Republican Candidates ",Rob Seyfferth,Republican,341,,0,"1,372"
Anne Arundel,Democratic Candidates ,Adam D. DeMarco,Democratic,377,,0,"1,577"
Anne Arundel,Democratic Candidates ,John Rea,Democratic,138,,0,560
Anne Arundel,Democratic Candidates ,Eduardo Rosas,Democratic,256,,0,"1,038"
Anne Arundel,Democratic Candidates ,John Sarbanes,Democratic,"4,304",,0,"12,358"
Anne Arundel,"District 4
Republican Candidates ",George McDermott,Republican,"3,105",,0,"10,457"
Anne Arundel,Democratic Candidates ,Anthony G. Brown,Democratic,"3,913",,0,"10,565"
Anne Arundel,"District 5
Republican Candidates ","William A. Devine, III",Republican,543,,0,"1,712"
Anne Arundel,"District 5
Republican Candidates ",Johnny Rice,Republican,311,,0,"1,065"
Anne Arundel,Democratic Candidates ,Dennis L. Fritz,Democratic,212,,0,674
Anne Arundel,Democratic Candidates ,Steny H. Hoyer,Democratic,"1,247",,0,"3,314"
Anne Arundel,"State Senator

District 21
Republican Candidates ",Lee Havis,Republican,271,,0,788
Anne Arundel,Democratic Candidates ,Jim Rosapepe,Democratic,808,,0,"1,859"
Anne Arundel,"District 30
Republican Candidates ",Ron George,Republican,"1,662",,0,"5,408"
Anne Arundel,Democratic Candidates ,Sarah K. Elfreth,Democratic,"2,361",,0,"6,166"
Anne Arundel,Democratic Candidates ,Chrissy Holt,Democratic,"1,490",,0,"4,327"
Anne Arundel,"District 31
Republican Candidates ",Bryan W. Simonaire,Republican,"1,332",,0,"6,016"
Anne Arundel,Democratic Candidates ,Scott Harman,Democratic,"1,435",,0,"4,818"
Anne Arundel,"District 32
Republican Candidates ",Maureen Bryant,Republican,388,,0,"1,616"
Anne Arundel,"District 32
Republican Candidates ",John Grasso,Republican,493,,0,"1,687"
Anne Arundel,Democratic Candidates ,Pamela Beidle,Democratic,"2,109",,0,"7,073"
Anne Arundel,"District 33
Republican Candidates ",Edward R. Reilly,Republican,"2,589",,0,"8,377"
Anne Arundel,Democratic Candidates ,Eve Hurwitz,Democratic,"3,042",,0,"8,342"
Anne Arundel,"House of Delegates

District 21
Republican Candidates ",Chike Anyanwu,Republican,230,,0,659
Anne Arundel,"House of Delegates

District 21
Republican Candidates ",Richard Douglas,Republican,260,,0,749
Anne Arundel,Democratic Candidates ,Ben Barnes,Democratic,580,,0,"1,289"
Anne Arundel,Democratic Candidates ,Matt Dernoga,Democratic,330,,0,894
Anne Arundel,Democratic Candidates ,Mary A. Lehman,Democratic,381,,0,788
Anne Arundel,Democratic Candidates ,"James E. McDowell, Jr.",Democratic,85,,0,195
Anne Arundel,Democratic Candidates ,Joseline Peña-Melnyk,Democratic,712,,0,"1,567"
Anne Arundel,Democratic Candidates ,Brencis Smith,Democratic,107,,0,258
Anne Arundel,"District 30A
Republican Candidates ",B. Darren Burns,Republican,321,,0,"1,025"
Anne Arundel,"District 30A
Republican Candidates ",Chelsea Gill,Republican,388,,0,"1,208"
Anne Arundel,"District 30A
Republican Candidates ",Bob O'Shea,Republican,607,,0,"2,014"
Anne Arundel,"District 30A
Republican Candidates ",Doug Rathell,Republican,257,,0,904
Anne Arundel,Democratic Candidates ,Aron Axe,Democratic,938,,0,"2,629"
Anne Arundel,Democratic Candidates ,Mike Busch,Democratic,"2,133",,0,"5,511"
Anne Arundel,Democratic Candidates ,Alice Cain,Democratic,"1,378",,0,"3,836"
Anne Arundel,Democratic Candidates ,Mary Reese,Democratic,670,,0,"1,722"
Anne Arundel,"District 30B
Republican Candidates ",Seth Howard,Republican,532,,0,"1,770"
Anne Arundel,"District 30B
Republican Candidates ",Tom Walters,Republican,195,,0,634
Anne Arundel,Democratic Candidates ,Susan Cochran,Democratic,334,,0,918
Anne Arundel,Democratic Candidates ,Mike Shay,Democratic,486,,0,"1,397"
Anne Arundel,Democratic Candidates ,Carmen Skarlupka,Democratic,80,,0,251
Anne Arundel,"District 31A
Republican Candidates ",Brooks Bennett,Republican,237,,0,899
Anne Arundel,Democratic Candidates ,Ned Carey,Democratic,573,,0,"1,727"
Anne Arundel,"District 31B
Republican Candidates ",Brian Chisholm,Republican,857,,0,"3,992"
Anne Arundel,"District 31B
Republican Candidates ",Nicholaus R. Kipke,Republican,977,,0,"4,453"
Anne Arundel,"District 31B
Republican Candidates ",John R. Leopold,Republican,195,,0,996
Anne Arundel,"District 31B
Republican Candidates ",David Therrien,Republican,144,,0,841
Anne Arundel,Democratic Candidates ,Harry E. Freeman,Democratic,783,,0,"2,776"
Anne Arundel,Democratic Candidates ,Karen Patricia Simpson,Democratic,874,,0,"3,055"
Anne Arundel,"District 32
Republican Candidates ",Mark E. Bailey,Republican,629,,0,"2,349"
Anne Arundel,"District 32
Republican Candidates ",Patty Ewing,Republican,785,,0,"2,926"
Anne Arundel,"District 32
Republican Candidates ",Tim Walters,Republican,692,,0,"2,592"
Anne Arundel,Democratic Candidates ,Patrick Armstrong,Democratic,492,,0,"1,847"
Anne Arundel,Democratic Candidates ,J. Sandy Bartlett,Democratic,"1,312",,0,"4,055"
Anne Arundel,Democratic Candidates ,Mark S. Chang,Democratic,"1,309",,0,"4,410"
Anne Arundel,Democratic Candidates ,Jenese Jones,Democratic,766,,0,"2,525"
Anne Arundel,Democratic Candidates ,Derek Kent,Democratic,398,,0,"1,500"
Anne Arundel,Democratic Candidates ,Mike Rogers,Democratic,"1,250",,0,"3,660"
Anne Arundel,Democratic Candidates ,Theodore Sophocleus,Democratic,541,,0,"1,779"
Anne Arundel,"District 33
Republican Candidates ",Tom Angelis,Republican,376,,0,"1,170"
Anne Arundel,"District 33
Republican Candidates ",Stacie MacDonald,Republican,"1,115",,0,"3,834"
Anne Arundel,"District 33
Republican Candidates ",Michael Edward Malone,Republican,"1,576",,0,"5,012"
Anne Arundel,"District 33
Republican Candidates ",Tony McConkey,Republican,"1,274",,0,"4,122"
Anne Arundel,"District 33
Republican Candidates ",Connor McCoy,Republican,232,,0,760
Anne Arundel,"District 33
Republican Candidates ",Sid Saab,Republican,"2,074",,0,"6,643"
Anne Arundel,"District 33
Republican Candidates ",Jerry Walker,Republican,"1,026",,0,"3,201"
Anne Arundel,Democratic Candidates ,Heather Bagnall,Democratic,"2,840",,0,"7,767"
Anne Arundel,Democratic Candidates ,Tracie Cramer Hovermale,Democratic,"2,797",,0,"7,582"
Anne Arundel,Democratic Candidates ,Pam Luby,Democratic,"2,837",,0,"7,726"
Anne Arundel,"Judge of the Circuit Court

Judicial Circuit 5
Republican Ballot ",Claudia Barber,,417,,0,"1,243"
Anne Arundel,"Judge of the Circuit Court

Judicial Circuit 5
Republican Ballot ",Robert W. Burton,,388,,0,"1,521"
Anne Arundel,"Judge of the Circuit Court

Judicial Circuit 5
Republican Ballot ",Mark W. Crooks,,"5,063",,0,"17,645"
Anne Arundel,"Judge of the Circuit Court

Judicial Circuit 5
Republican Ballot ",Annette DeCesaris,,671,,0,"2,454"
Anne Arundel,"Judge of the Circuit Court

Judicial Circuit 5
Republican Ballot ",Kathleen Elmore,,398,,0,"1,343"
Anne Arundel,"Judge of the Circuit Court

Judicial Circuit 5
Republican Ballot ",Rickey Nelson Jones,,107,,0,390
Anne Arundel,"Judge of the Circuit Court

Judicial Circuit 5
Republican Ballot ",Nevin L. Young,,85,,0,402
Anne Arundel,Democratic Ballot ,Claudia Barber,,"4,512",,0,"11,719"
Anne Arundel,Democratic Ballot ,Robert W. Burton,,353,,0,"1,263"
Anne Arundel,Democratic Ballot ,Mark W. Crooks,,"4,278",,0,"12,596"
Anne Arundel,Democratic Ballot ,Annette DeCesaris,,"1,240",,0,"4,192"
Anne Arundel,Democratic Ballot ,Kathleen Elmore,,800,,0,"2,538"
Anne Arundel,Democratic Ballot ,Rickey Nelson Jones,,465,,0,"1,497"
Anne Arundel,Democratic Ballot ,Nevin L. Young,,202,,0,745
Baltimore City,"Governor / Lt. Governor

Republican Candidates ",Larry Hogan and Boyd K. Rutherford,Republican,467,,0,"2,534"
Baltimore City,Democratic Candidates ,"Rushern L. Baker, III and Elizabeth Embry",Democratic,"4,469",,0,"13,972"
Baltimore City,Democratic Candidates ,Ralph Jaffe and Freda Jaffe,Democratic,324,,0,870
Baltimore City,Democratic Candidates ,Ben Jealous and Susan Turnbull,Democratic,"9,211",,0,"31,404"
Baltimore City,Democratic Candidates ,"James Hugh Jones, II and Charles S. Waters",Democratic,247,,0,"1,047"
Baltimore City,Democratic Candidates ,Valerie Ervin and Marisol Johnson *,Democratic,694,,0,"2,547"
Baltimore City,Democratic Candidates ,Rich Madaleno and Luwanda Jenkins,Democratic,582,,0,"2,187"
Baltimore City,Democratic Candidates ,Alec Ross and Julie C. Verratti,Democratic,251,,0,"1,118"
Baltimore City,Democratic Candidates ,Jim Shea and Brandon M. Scott,Democratic,"3,815",,0,"14,157"
Baltimore City,Democratic Candidates ,Krish O'Mara Vignarajah and Sharon Y. Blake,Democratic,"1,101",,0,"5,305"
Baltimore City,"Comptroller

Republican Candidates ",Anjali Reed Phukan,Republican,377,,0,"2,119"
Baltimore City,Democratic Candidates ,Peter Franchot,Democratic,"17,364",,0,"59,601"
Baltimore City,"Attorney General

Republican Candidates ",Craig Wolf,Republican,396,,0,"2,215"
Baltimore City,Democratic Candidates ,Brian E. Frosh,Democratic,"16,905",,0,"58,177"
Baltimore City,"U.S. Senator

Republican Candidates ",Tony Campbell,Republican,126,,0,652
Baltimore City,"U.S. Senator

Republican Candidates ",Chris Chaffee,Republican,55,,0,341
Baltimore City,"U.S. Senator

Republican Candidates ",Evan M. Cronhardt,Republican,16,,0,83
Baltimore City,"U.S. Senator

Republican Candidates ",Nnabu Eze,Republican,20,,0,120
Baltimore City,"U.S. Senator

Republican Candidates ",John R. Graziani,Republican,31,,0,220
Baltimore City,"U.S. Senator

Republican Candidates ",Christina J. Grigorian,Republican,66,,0,416
Baltimore City,"U.S. Senator

Republican Candidates ",Albert Binyahmin Howard,Republican,22,,0,90
Baltimore City,"U.S. Senator

Republican Candidates ",Bill Krehnbrink,Republican,12,,0,63
Baltimore City,"U.S. Senator

Republican Candidates ","Gerald I. Smith, Jr.",Republican,26,,0,118
Baltimore City,"U.S. Senator

Republican Candidates ",Blaine Taylor,Republican,27,,0,104
Baltimore City,"U.S. Senator

Republican Candidates ",Brian Charles Vaeth,Republican,21,,0,116
Baltimore City,Democratic Candidates ,Ben Cardin,Democratic,"18,008",,0,"59,004"
Baltimore City,Democratic Candidates ,Erik Jetmir,Democratic,147,,0,785
Baltimore City,Democratic Candidates ,Chelsea Manning,Democratic,949,,0,"4,521"
Baltimore City,Democratic Candidates ,Marcia H. Morgan,Democratic,405,,0,"1,630"
Baltimore City,Democratic Candidates ,"Jerome ""Jerry"" Segal",Democratic,354,,0,"1,980"
Baltimore City,Democratic Candidates ,"Richard ""Rikki"" Vaughn",Democratic,303,,0,"1,289"
Baltimore City,Democratic Candidates ,"Debbie ""Rica"" Wilson",Democratic,425,,0,"1,883"
Baltimore City,Democratic Candidates ,Lih Young,Democratic,231,,0,"1,128"
Baltimore City,"Representative in Congress

District 2
Republican Candidates ",Liz Matory,Republican,20,,0,92
Baltimore City,"Representative in Congress

District 2
Republican Candidates ","Hubert Owens, Jr.",Republican,12,,0,60
Baltimore City,"Representative in Congress

District 2
Republican Candidates ",Mark Shell,Republican,9,,0,54
Baltimore City,"Representative in Congress

District 2
Republican Candidates ","Mitchell J. Toland, Jr.",Republican,10,,0,41
Baltimore City,Democratic Candidates ,Jake Pretot,Democratic,358,,0,"1,350"
Baltimore City,Democratic Candidates ,C.A. Dutch Ruppersberger,Democratic,"1,749",,0,"5,128"
Baltimore City,"District 3
Republican Candidates ",Charles Anthony,Republican,65,,0,544
Baltimore City,"District 3
Republican Candidates ","Thomas E. ""Pinkston"" Harris",Republican,58,,0,425
Baltimore City,"District 3
Republican Candidates ",Rob Seyfferth,Republican,35,,0,306
Baltimore City,Democratic Candidates ,Adam D. DeMarco,Democratic,345,,0,"1,887"
Baltimore City,Democratic Candidates ,John Rea,Democratic,98,,0,583
Baltimore City,Democratic Candidates ,Eduardo Rosas,Democratic,212,,0,"1,207"
Baltimore City,Democratic Candidates ,John Sarbanes,Democratic,"4,982",,0,"19,304"
Baltimore City,"District 7
Republican Candidates ",Ray Bly,Republican,23,,0,114
Baltimore City,"District 7
Republican Candidates ",Richmond Davis,Republican,46,,0,152
Baltimore City,"District 7
Republican Candidates ",William T. Newton,Republican,39,,0,141
Baltimore City,"District 7
Republican Candidates ",Michael Pearson,Republican,80,,0,247
Baltimore City,Democratic Candidates ,"Anthony Carter, Sr.",Democratic,294,,0,"1,068"
Baltimore City,Democratic Candidates ,Elijah Cummings,Democratic,"12,342",,0,"39,593"
Baltimore City,Democratic Candidates ,John Moser,Democratic,152,,0,683
Baltimore City,Democratic Candidates ,Charles U. Smith,Democratic,67,,0,278
Baltimore City,Democratic Candidates ,Charles Stokes,Democratic,325,,0,"1,258"
Baltimore City,"State Senator

District 40
Democratic Candidates ",Antonio Hayes,Democratic,"1,485",,0,"7,461"
Baltimore City,"State Senator

District 40
Democratic Candidates ",Barbara A. Robinson,Democratic,995,,0,"3,926"
Baltimore City,"District 41
Democratic Candidates ",Jill P. Carter,Democratic,"3,727",,0,"9,468"
Baltimore City,"District 41
Democratic Candidates ",J.D. Merrill,Democratic,"2,272",,0,"6,700"
Baltimore City,"District 41
Democratic Candidates ",Nathaniel T. Oaks,Democratic,391,,0,"1,106"
Baltimore City,"District 43
Democratic Candidates ",Joan Carter Conway,Democratic,"2,975",,0,"8,503"
Baltimore City,"District 43
Democratic Candidates ",Mary Washington,Democratic,"2,486",,0,"9,032"
Baltimore City,"District 44
Republican Candidates ","Victor Clark, Jr.",Republican,24,,0,74
Baltimore City,Democratic Candidates ,Aletheia McCaskill,Democratic,377,,0,"1,241"
Baltimore City,Democratic Candidates ,Shirley Nathan-Pulliam,Democratic,660,,0,"2,118"
Baltimore City,"District 45
Democratic Candidates ",Cory V. McCray,Democratic,"2,095",,0,"7,128"
Baltimore City,"District 45
Democratic Candidates ",Nathaniel J. McFadden,Democratic,"1,239",,0,"5,055"
Baltimore City,"District 46
Republican Candidates ",Christine Digman,Republican,95,,0,729
Baltimore City,Democratic Candidates ,Bill Ferguson,Democratic,"1,798",,0,"8,968"
Baltimore City,"House of Delegates

District 40
Democratic Candidates ",Anees Abdul-Rahim,Democratic,225,,0,"1,008"
Baltimore City,"House of Delegates

District 40
Democratic Candidates ",Gabriel Auteri,Democratic,543,,0,"2,736"
Baltimore City,"House of Delegates

District 40
Democratic Candidates ",Terrell Boston-Smith,Democratic,586,,0,"2,715"
Baltimore City,"House of Delegates

District 40
Democratic Candidates ","Frank M. Conaway, Jr.",Democratic,"1,008",,0,"3,968"
Baltimore City,"House of Delegates

District 40
Democratic Candidates ",Blair DuCray,Democratic,46,,0,219
Baltimore City,"House of Delegates

District 40
Democratic Candidates ",Latia Hopkins,Democratic,243,,0,"1,147"
Baltimore City,"House of Delegates

District 40
Democratic Candidates ",Sarah Matthews,Democratic,261,,0,"1,265"
Baltimore City,"House of Delegates

District 40
Democratic Candidates ",Timothy Mercer,Democratic,61,,0,347
Baltimore City,"House of Delegates

District 40
Democratic Candidates ",Nick Mosby,Democratic,"1,398",,0,"5,947"
Baltimore City,"House of Delegates

District 40
Democratic Candidates ",Brian Murphy,Democratic,180,,0,846
Baltimore City,"House of Delegates

District 40
Democratic Candidates ",Sanjay Thomas,Democratic,323,,0,"1,571"
Baltimore City,"House of Delegates

District 40
Democratic Candidates ",Melissa Wells,Democratic,848,,0,"4,187"
Baltimore City,"House of Delegates

District 40
Democratic Candidates ",Westley West,Democratic,748,,0,"2,956"
Baltimore City,"District 41
Democratic Candidates ",Bilal Ali,Democratic,"1,940",,0,"4,959"
Baltimore City,"District 41
Democratic Candidates ",Dalya Attar,Democratic,"3,087",,0,"7,352"
Baltimore City,"District 41
Democratic Candidates ",Tony Bridges,Democratic,"1,773",,0,"5,205"
Baltimore City,"District 41
Democratic Candidates ",Richard Bruno,Democratic,812,,0,"2,835"
Baltimore City,"District 41
Democratic Candidates ",Angela C. Gibson,Democratic,"1,900",,0,"4,968"
Baltimore City,"District 41
Democratic Candidates ",Tessa Hill-Aston,Democratic,"1,070",,0,"2,712"
Baltimore City,"District 41
Democratic Candidates ",Walter J. Horton,Democratic,273,,0,735
Baltimore City,"District 41
Democratic Candidates ",George E. Mitchell,Democratic,795,,0,"1,973"
Baltimore City,"District 41
Democratic Candidates ","Samuel I. ""Sandy"" Rosenberg",Democratic,"2,761",,0,"7,321"
Baltimore City,"District 41
Democratic Candidates ",Joyce J. Smith,Democratic,908,,0,"2,162"
Baltimore City,"District 41
Democratic Candidates ",Sean Stinnett,Democratic,"1,026",,0,"2,703"
Baltimore City,"District 43
Democratic Candidates ",Curt Anderson,Democratic,"2,796",,0,"7,347"
Baltimore City,"District 43
Democratic Candidates ",Regina T. Boyce,Democratic,"2,221",,0,"7,350"
Baltimore City,"District 43
Democratic Candidates ",Kelly Fox,Democratic,"1,768",,0,"4,811"
Baltimore City,"District 43
Democratic Candidates ",Urcille Goddard,Democratic,519,,0,"1,057"
Baltimore City,"District 43
Democratic Candidates ",Nilesh Kalyanaraman,Democratic,"1,781",,0,"6,978"
Baltimore City,"District 43
Democratic Candidates ",Maggie McIntosh,Democratic,"3,427",,0,"10,563"
Baltimore City,"District 43
Democratic Candidates ",Destinee Parker,Democratic,535,,0,"1,804"
Baltimore City,"District 43
Democratic Candidates ",Dong Shen,Democratic,603,,0,"2,160"
Baltimore City,"District 44A
Democratic Candidates ",Keith E. Haynes,Democratic,988,,0,"3,163"
Baltimore City,"District 45
Republican Candidates ",Ronald M. Owens-Bey,Republican,49,,0,291
Baltimore City,"District 45
Republican Candidates ",Jewel Rucker,Republican,44,,0,267
Baltimore City,"District 45
Republican Candidates ",Andy Zipay,Republican,55,,0,291
Baltimore City,Democratic Candidates ,John D. Amankwah,Democratic,140,,0,639
Baltimore City,Democratic Candidates ,Talmadge Branch,Democratic,"1,756",,0,"5,924"
Baltimore City,Democratic Candidates ,Rita Church,Democratic,693,,0,"2,369"
Baltimore City,Democratic Candidates ,Marques Dent,Democratic,781,,0,"2,503"
Baltimore City,Democratic Candidates ,Cheryl D. Glenn,Democratic,"1,582",,0,"5,326"
Baltimore City,Democratic Candidates ,Linzy Jackson,Democratic,485,,0,"1,700"
Baltimore City,Democratic Candidates ,George Johnson,Democratic,141,,0,616
Baltimore City,Democratic Candidates ,Sharon McCollough,Democratic,655,,0,"2,657"
Baltimore City,Democratic Candidates ,Andy Pierre,Democratic,130,,0,539
Baltimore City,Democratic Candidates ,Stephanie Smith,Democratic,"1,179",,0,"4,154"
Baltimore City,Democratic Candidates ,Caylin Young,Democratic,"1,173",,0,"3,656"
Baltimore City,"District 46
Republican Candidates ",Jeremy Baron,Republican,85,,0,650
