county,race,party,candidate,votes
Atchison,U.S. Senator,Republican,Tony Monetti,110
Atchison,U.S. Senator,Republican,Austin Petersen,33
Atchison,U.S. Senator,Republican,Josh Hawley,291
Atchison,U.S. Senator,Republican,Fred Ryman,6
Atchison,U.S. Senator,Republican,Christina Smith,28
Atchison,U.S. Senator,Republican,Kristi Nichols,31
Atchison,U.S. Senator,Republican,Bradley Krembs,5
Atchison,U.S. Senator,Republican,Ken Patterson,13
Atchison,U.S. Senator,Republican,Brian G. Hagg,8
Atchison,U.S. Senator,Republican,Courtland Sykes,5
Atchison,U.S. Senator,Republican,Peter Pfeifer,11
Atchison,U.S. Senator,Democratic,Carla (Coffee) Wright,10
Atchison,U.S. Senator,Democratic,Angelica Earl,7
Atchison,U.S. Senator,Democratic,Leonard Joseph Steinman II,5
Atchison,U.S. Senator,Democratic,John Hogan,10
Atchison,U.S. Senator,Democratic,Travis Gonzalez,4
Atchison,U.S. Senator,Democratic,David Faust,13
Atchison,U.S. Senator,Democratic,Claire McCaskill,159
Atchison,U.S. Senator,Libertarian,Japheth Campbell,4
Atchison,U.S. Senator,Green,Jo Crain,0
Atchison,U.S. Senator,Green,Jerome Bauer,0
Atchison,State Auditor,Republican,Kevin M. Roach,123
Atchison,State Auditor,Republican,David Wasinger,105
Atchison,State Auditor,Republican,Paul Curtman,74
Atchison,State Auditor,Republican,Saundra McDowell,158
Atchison,State Auditor,Democratic,Nicole Galloway,161
Atchison,State Auditor,Libertarian,Sean O'Toole,4
Atchison,State Auditor,Green,Don Fitz,0
Atchison,State Auditor,Constitution,Jacob Luetkemeyer,0
Atchison,U.S. Representative - District 6,Republican,Sam Graves,531
Atchison,U.S. Representative - District 6,Democratic,Winston Apple,66
Atchison,U.S. Representative - District 6,Democratic,Henry Robert Martin,73
Atchison,U.S. Representative - District 6,Democratic,Ed Andres,45
Atchison,U.S. Representative - District 6,Libertarian,Dan Hogan,5
Atchison,State Senator - District 12,Republican,Dan Hegeman,521
Atchison,State Senator - District 12,Democratic,Terry Richard,173
Atchison,State Representative - District 1,Republican,Allen Andrews,529
Atchison,State Representative - District 1,Democratic,Paul Taylor,173
Atchison,Circuit Judge - Circuit 4,Republican,Roger Prokes,525
Audrain,U.S. Senator,Republican,Tony Monetti,177
Audrain,U.S. Senator,Republican,Austin Petersen,360
Audrain,U.S. Senator,Republican,Josh Hawley,"1,647"
Audrain,U.S. Senator,Republican,Fred Ryman,46
Audrain,U.S. Senator,Republican,Christina Smith,170
Audrain,U.S. Senator,Republican,Kristi Nichols,247
Audrain,U.S. Senator,Republican,Bradley Krembs,19
Audrain,U.S. Senator,Republican,Ken Patterson,108
Audrain,U.S. Senator,Republican,Brian G. Hagg,49
Audrain,U.S. Senator,Republican,Courtland Sykes,33
Audrain,U.S. Senator,Republican,Peter Pfeifer,64
Audrain,U.S. Senator,Democratic,Carla (Coffee) Wright,84
Audrain,U.S. Senator,Democratic,Angelica Earl,35
Audrain,U.S. Senator,Democratic,Leonard Joseph Steinman II,53
Audrain,U.S. Senator,Democratic,John Hogan,61
Audrain,U.S. Senator,Democratic,Travis Gonzalez,27
Audrain,U.S. Senator,Democratic,David Faust,28
Audrain,U.S. Senator,Democratic,Claire McCaskill,"1,053"
Audrain,U.S. Senator,Libertarian,Japheth Campbell,9
Audrain,U.S. Senator,Green,Jo Crain,1
Audrain,U.S. Senator,Green,Jerome Bauer,1
Audrain,State Auditor,Republican,Kevin M. Roach,570
Audrain,State Auditor,Republican,David Wasinger,682
Audrain,State Auditor,Republican,Paul Curtman,373
Audrain,State Auditor,Republican,Saundra McDowell,933
Audrain,State Auditor,Democratic,Nicole Galloway,"1,178"
Audrain,State Auditor,Libertarian,Sean O'Toole,9
Audrain,State Auditor,Green,Don Fitz,2
Audrain,State Auditor,Constitution,Jacob Luetkemeyer,2
Audrain,U.S. Representative - District 4,Republican,John Webb,634
Audrain,U.S. Representative - District 4,Republican,Vicky Hartzler,"1,794"
Audrain,U.S. Representative - District 4,Democratic,Renee Hoagenson,402
Audrain,U.S. Representative - District 4,Democratic,Hallie J Thompson,518
Audrain,U.S. Representative - District 4,Libertarian,Steven Koonse,2
Audrain,U.S. Representative - District 4,Libertarian,Mark Bliss,7
Audrain,U.S. Representative - District 6,Republican,Sam Graves,487
Audrain,U.S. Representative - District 6,Democratic,Winston Apple,93
Audrain,U.S. Representative - District 6,Democratic,Henry Robert Martin,117
Audrain,U.S. Representative - District 6,Democratic,Ed Andres,69
Audrain,U.S. Representative - District 6,Libertarian,Dan Hogan,0
Audrain,State Senator - District 10,Republican,Jeanie Riddle,"2,610"
Audrain,State Senator - District 10,Democratic,Ayanna Shivers,"1,216"
Audrain,State Representative - District 43,Republican,Kent Haden,"2,421"
Audrain,State Representative - District 43,Republican,Adela Falk,282
Audrain,State Representative - District 43,Republican,Ed Lockwood,272
Audrain,State Representative - District 43,Democratic,Jamie Blair,"1,178"
Audrain,Circuit Judge - Circuit 12,Republican,Jason Lamb,"2,108"
Audrain,Circuit Judge - Circuit 12,Republican,Tim Joyce,942
Barry,U.S. Senator,Republican,Tony Monetti,415
Barry,U.S. Senator,Republican,Austin Petersen,382
Barry,U.S. Senator,Republican,Josh Hawley,"3,086"
Barry,U.S. Senator,Republican,Fred Ryman,69
Barry,U.S. Senator,Republican,Christina Smith,291
Barry,U.S. Senator,Republican,Kristi Nichols,468
Barry,U.S. Senator,Republican,Bradley Krembs,53
Barry,U.S. Senator,Republican,Ken Patterson,174
Barry,U.S. Senator,Republican,Brian G. Hagg,55
Barry,U.S. Senator,Republican,Courtland Sykes,69
Barry,U.S. Senator,Republican,Peter Pfeifer,157
Barry,U.S. Senator,Democratic,Carla (Coffee) Wright,48
Barry,U.S. Senator,Democratic,Angelica Earl,26
Barry,U.S. Senator,Democratic,Leonard Joseph Steinman II,11
Barry,U.S. Senator,Democratic,John Hogan,19
Barry,U.S. Senator,Democratic,Travis Gonzalez,17
Barry,U.S. Senator,Democratic,David Faust,25
Barry,U.S. Senator,Democratic,Claire McCaskill,667
Barry,U.S. Senator,Libertarian,Japheth Campbell,7
Barry,U.S. Senator,Green,Jo Crain,1
Barry,U.S. Senator,Green,Jerome Bauer,2
Barry,State Auditor,Republican,Kevin M. Roach,964
Barry,State Auditor,Republican,David Wasinger,"1,580"
Barry,State Auditor,Republican,Paul Curtman,600
Barry,State Auditor,Republican,Saundra McDowell,"1,577"
Barry,State Auditor,Democratic,Nicole Galloway,692
Barry,State Auditor,Libertarian,Sean O'Toole,7
Barry,State Auditor,Green,Don Fitz,3
Barry,State Auditor,Constitution,Jacob Luetkemeyer,3
Barry,U.S. Representative - District 7,Republican,Billy Long,"3,689"
Barry,U.S. Representative - District 7,Republican,Lance Norris,478
Barry,U.S. Representative - District 7,Republican,Benjamin Holcomb,280
Barry,U.S. Representative - District 7,Republican,Jim Evans,926
Barry,U.S. Representative - District 7,Democratic,Vince Jennings,136
Barry,U.S. Representative - District 7,Democratic,John Farmer de la Torre,171
Barry,U.S. Representative - District 7,Democratic,Jamie Daniel Schoolcraft,193
Barry,U.S. Representative - District 7,Democratic,Kenneth Hatfield,241
Barry,U.S. Representative - District 7,Libertarian,Benjamin T. Brixey,7
Barry,State Representative - District 158,Republican,Scott Fitzpatrick,"4,937"
Barry,Circuit Judge - Circuit 39,Republican,Jack Goodman,"4,902"
Barton,U.S. Senator,Republican,Tony Monetti,251
Barton,U.S. Senator,Republican,Austin Petersen,273
Barton,U.S. Senator,Republican,Josh Hawley,"1,341"
Barton,U.S. Senator,Republican,Fred Ryman,54
Barton,U.S. Senator,Republican,Christina Smith,128
Barton,U.S. Senator,Republican,Kristi Nichols,284
Barton,U.S. Senator,Republican,Bradley Krembs,30
Barton,U.S. Senator,Republican,Ken Patterson,100
Barton,U.S. Senator,Republican,Brian G. Hagg,66
Barton,U.S. Senator,Republican,Courtland Sykes,161
Barton,U.S. Senator,Republican,Peter Pfeifer,78
Barton,U.S. Senator,Democratic,Carla (Coffee) Wright,19
Barton,U.S. Senator,Democratic,Angelica Earl,17
Barton,U.S. Senator,Democratic,Leonard Joseph Steinman II,5
Barton,U.S. Senator,Democratic,John Hogan,7
Barton,U.S. Senator,Democratic,Travis Gonzalez,4
Barton,U.S. Senator,Democratic,David Faust,8
Barton,U.S. Senator,Democratic,Claire McCaskill,158
Barton,U.S. Senator,Libertarian,Japheth Campbell,4
Barton,U.S. Senator,Green,Jo Crain,2
Barton,U.S. Senator,Green,Jerome Bauer,0
Barton,State Auditor,Republican,Kevin M. Roach,578
Barton,State Auditor,Republican,David Wasinger,431
Barton,State Auditor,Republican,Paul Curtman,575
Barton,State Auditor,Republican,Saundra McDowell,874
Barton,State Auditor,Democratic,Nicole Galloway,201
Barton,State Auditor,Libertarian,Sean O'Toole,4
Barton,State Auditor,Green,Don Fitz,2
Barton,State Auditor,Constitution,Jacob Luetkemeyer,1
Barton,U.S. Representative - District 4,Republican,John Webb,787
Barton,U.S. Representative - District 4,Republican,Vicky Hartzler,"2,126"
Barton,U.S. Representative - District 4,Democratic,Renee Hoagenson,65
Barton,U.S. Representative - District 4,Democratic,Hallie J Thompson,140
Barton,U.S. Representative - District 4,Libertarian,Steven Koonse,2
Barton,U.S. Representative - District 4,Libertarian,Mark Bliss,2
Barton,State Representative - District 127,Republican,Ann Kelley,"1,962"
Barton,State Representative - District 127,Republican,George Randall Heim,"1,088"
Barton,State Representative - District 127,Democratic,Teri Hanna,212
Barton,Circuit Judge - Circuit 28,Republican,David Munton,"2,325"
Bates,U.S. Senator,Republican,Tony Monetti,212
Bates,U.S. Senator,Republican,Austin Petersen,172
Bates,U.S. Senator,Republican,Josh Hawley,"1,369"
Bates,U.S. Senator,Republican,Fred Ryman,40
Bates,U.S. Senator,Republican,Christina Smith,142
Bates,U.S. Senator,Republican,Kristi Nichols,175
Bates,U.S. Senator,Republican,Bradley Krembs,37
Bates,U.S. Senator,Republican,Ken Patterson,104
Bates,U.S. Senator,Republican,Brian G. Hagg,38
Bates,U.S. Senator,Republican,Courtland Sykes,50
Bates,U.S. Senator,Republican,Peter Pfeifer,66
Bates,U.S. Senator,Democratic,Carla (Coffee) Wright,112
Bates,U.S. Senator,Democratic,Angelica Earl,36
Bates,U.S. Senator,Democratic,Leonard Joseph Steinman II,30
Bates,U.S. Senator,Democratic,John Hogan,122
Bates,U.S. Senator,Democratic,Travis Gonzalez,31
Bates,U.S. Senator,Democratic,David Faust,40
Bates,U.S. Senator,Democratic,Claire McCaskill,859
Bates,U.S. Senator,Libertarian,Japheth Campbell,9
Bates,U.S. Senator,Green,Jo Crain,0
Bates,U.S. Senator,Green,Jerome Bauer,1
Bates,State Auditor,Republican,Kevin M. Roach,624
Bates,State Auditor,Republican,David Wasinger,470
Bates,State Auditor,Republican,Paul Curtman,289
Bates,State Auditor,Republican,Saundra McDowell,706
Bates,State Auditor,Democratic,Nicole Galloway,"1,026"
Bates,State Auditor,Libertarian,Sean O'Toole,9
Bates,State Auditor,Green,Don Fitz,1
Bates,State Auditor,Constitution,Jacob Luetkemeyer,1
Bates,U.S. Representative - District 4,Republican,John Webb,669
Bates,U.S. Representative - District 4,Republican,Vicky Hartzler,"1,927"
Bates,U.S. Representative - District 4,Democratic,Renee Hoagenson,461
Bates,U.S. Representative - District 4,Democratic,Hallie J Thompson,627
Bates,U.S. Representative - District 4,Libertarian,Steven Koonse,2
Bates,U.S. Representative - District 4,Libertarian,Mark Bliss,7
Bates,State Representative - District 56,Republican,Jack Bondon,70
Bates,State Representative - District 57,Republican,Rodger L. Reedy,104
Bates,State Representative - District 57,Democratic,Joan Shores,68
Bates,State Representative - District 126,Republican,Bill Yarberry,488
Bates,State Representative - District 126,Republican,Patricia Pike,"1,899"
Bates,State Representative - District 126,Democratic,Jim Hogan,958
Bates,State Representative - District 126,Constitution,Stephen Biles,1
Bates,Circuit Judge - Circuit 27,Democratic,James K. (Jim) Journey,"1,079"
Benton,U.S. Senator,Republican,Tony Monetti,460
Benton,U.S. Senator,Republican,Austin Petersen,172
Benton,U.S. Senator,Republican,Josh Hawley,"1,752"
Benton,U.S. Senator,Republican,Fred Ryman,39
Benton,U.S. Senator,Republican,Christina Smith,164
Benton,U.S. Senator,Republican,Kristi Nichols,252
Benton,U.S. Senator,Republican,Bradley Krembs,18
Benton,U.S. Senator,Republican,Ken Patterson,103
Benton,U.S. Senator,Republican,Brian G. Hagg,31
Benton,U.S. Senator,Republican,Courtland Sykes,32
Benton,U.S. Senator,Republican,Peter Pfeifer,66
Benton,U.S. Senator,Democratic,Carla (Coffee) Wright,84
Benton,U.S. Senator,Democratic,Angelica Earl,40
Benton,U.S. Senator,Democratic,Leonard Joseph Steinman II,20
Benton,U.S. Senator,Democratic,John Hogan,46
Benton,U.S. Senator,Democratic,Travis Gonzalez,8
Benton,U.S. Senator,Democratic,David Faust,26
Benton,U.S. Senator,Democratic,Claire McCaskill,949
Benton,U.S. Senator,Libertarian,Japheth Campbell,11
Benton,U.S. Senator,Green,Jo Crain,1
Benton,U.S. Senator,Green,Jerome Bauer,3
Benton,State Auditor,Republican,Kevin M. Roach,629
Benton,State Auditor,Republican,David Wasinger,856
Benton,State Auditor,Republican,Paul Curtman,340
Benton,State Auditor,Republican,Saundra McDowell,927
Benton,State Auditor,Democratic,Nicole Galloway,986
Benton,State Auditor,Libertarian,Sean O'Toole,11
Benton,State Auditor,Green,Don Fitz,4
Benton,State Auditor,Constitution,Jacob Luetkemeyer,4
Benton,U.S. Representative - District 4,Republican,John Webb,885
Benton,U.S. Representative - District 4,Republican,Vicky Hartzler,"2,303"
Benton,U.S. Representative - District 4,Democratic,Renee Hoagenson,570
Benton,U.S. Representative - District 4,Democratic,Hallie J Thompson,529
Benton,U.S. Representative - District 4,Libertarian,Steven Koonse,1
Benton,U.S. Representative - District 4,Libertarian,Mark Bliss,7
Benton,State Senator - District 28,Republican,Sandy Crawford,"2,600"
Benton,State Senator - District 28,Democratic,Joe Poor,"1,024"
Benton,State Representative - District 57,Republican,Rodger L. Reedy,"1,325"
Benton,State Representative - District 57,Democratic,Joan Shores,331
Benton,State Representative - District 125,Republican,Warren D. Love,"1,456"
Benton,State Representative - District 125,Democratic,Chase Crawford,732
Benton,Circuit Judge - Circuit 30,Republican,Michael O. Hendrickson,"2,541"
Bollinger,U.S. Senator,Republican,Tony Monetti,183
Bollinger,U.S. Senator,Republican,Austin Petersen,220
Bollinger,U.S. Senator,Republican,Josh Hawley,"1,303"
Bollinger,U.S. Senator,Republican,Fred Ryman,37
Bollinger,U.S. Senator,Republican,Christina Smith,140
Bollinger,U.S. Senator,Republican,Kristi Nichols,146
Bollinger,U.S. Senator,Republican,Bradley Krembs,16
Bollinger,U.S. Senator,Republican,Ken Patterson,80
Bollinger,U.S. Senator,Republican,Brian G. Hagg,29
Bollinger,U.S. Senator,Republican,Courtland Sykes,33
Bollinger,U.S. Senator,Republican,Peter Pfeifer,93
Bollinger,U.S. Senator,Democratic,Carla (Coffee) Wright,9
Bollinger,U.S. Senator,Democratic,Angelica Earl,6
Bollinger,U.S. Senator,Democratic,Leonard Joseph Steinman II,3
Bollinger,U.S. Senator,Democratic,John Hogan,13
Bollinger,U.S. Senator,Democratic,Travis Gonzalez,7
Bollinger,U.S. Senator,Democratic,David Faust,16
Bollinger,U.S. Senator,Democratic,Claire McCaskill,320
Bollinger,U.S. Senator,Libertarian,Japheth Campbell,2
Bollinger,U.S. Senator,Green,Jo Crain,0
Bollinger,U.S. Senator,Green,Jerome Bauer,0
Bollinger,State Auditor,Republican,Kevin M. Roach,503
Bollinger,State Auditor,Republican,David Wasinger,462
Bollinger,State Auditor,Republican,Paul Curtman,356
Bollinger,State Auditor,Republican,Saundra McDowell,701
Bollinger,State Auditor,Democratic,Nicole Galloway,311
Bollinger,State Auditor,Libertarian,Sean O'Toole,3
Bollinger,State Auditor,Green,Don Fitz,0
Bollinger,State Auditor,Constitution,Jacob Luetkemeyer,0
Bollinger,U.S. Representative - District 8,Republican,Jason Smith,"2,114"
Bollinger,U.S. Representative - District 8,Democratic,Kathy Ellis,329
Bollinger,U.S. Representative - District 8,Libertarian,Jonathan L. Shell,2
Bollinger,State Representative - District 145,Republican,Rick Francis,"2,133"
Bollinger,State Representative - District 145,Democratic,Ronald G. Pember,313
Bollinger,Circuit Judge - Circuit 32 Division 2,Republican,Benjamin F. Lewis,"1,974"
Boone,U.S. Senator,Republican,Tony Monetti,728
Boone,U.S. Senator,Republican,Austin Petersen,"2,388"
Boone,U.S. Senator,Republican,Josh Hawley,"8,449"
Boone,U.S. Senator,Republican,Fred Ryman,84
Boone,U.S. Senator,Republican,Christina Smith,434
Boone,U.S. Senator,Republican,Kristi Nichols,744
Boone,U.S. Senator,Republican,Bradley Krembs,49
Boone,U.S. Senator,Republican,Ken Patterson,192
Boone,U.S. Senator,Republican,Brian G. Hagg,74
Boone,U.S. Senator,Republican,Courtland Sykes,121
Boone,U.S. Senator,Republican,Peter Pfeifer,182
Boone,U.S. Senator,Democratic,Carla (Coffee) Wright,991
Boone,U.S. Senator,Democratic,Angelica Earl,602
Boone,U.S. Senator,Democratic,Leonard Joseph Steinman II,134
Boone,U.S. Senator,Democratic,John Hogan,169
Boone,U.S. Senator,Democratic,Travis Gonzalez,452
Boone,U.S. Senator,Democratic,David Faust,281
Boone,U.S. Senator,Democratic,Claire McCaskill,"17,792"
Boone,U.S. Senator,Libertarian,Japheth Campbell,278
Boone,U.S. Senator,Green,Jo Crain,33
Boone,U.S. Senator,Green,Jerome Bauer,13
Boone,State Auditor,Republican,Kevin M. Roach,"2,206"
Boone,State Auditor,Republican,David Wasinger,"2,989"
Boone,State Auditor,Republican,Paul Curtman,"2,152"
Boone,State Auditor,Republican,Saundra McDowell,"3,514"
Boone,State Auditor,Democratic,Nicole Galloway,"17,484"
Boone,State Auditor,Libertarian,Sean O'Toole,275
Boone,State Auditor,Green,Don Fitz,39
Boone,State Auditor,Constitution,Jacob Luetkemeyer,26
Boone,U.S. Representative - District 4,Republican,John Webb,"3,088"
Boone,U.S. Representative - District 4,Republican,Vicky Hartzler,"10,217"
Boone,U.S. Representative - District 4,Democratic,Renee Hoagenson,"10,919"
Boone,U.S. Representative - District 4,Democratic,Hallie J Thompson,"8,020"
Boone,U.S. Representative - District 4,Libertarian,Steven Koonse,146
Boone,U.S. Representative - District 4,Libertarian,Mark Bliss,126
Boone,State Representative - District 44,Republican,Cheri Toalson Reisch,"2,674"
Boone,State Representative - District 44,Democratic,Maren Bell Jones,"2,668"
Boone,State Representative - District 45,Democratic,Kip Kendrick,"2,740"
Boone,State Representative - District 46,Republican,Cathy D. Richards,"2,151"
Boone,State Representative - District 46,Democratic,Martha Stevens,"5,819"
Boone,State Representative - District 46,Green,William (Bill) Hastings,11
Boone,State Representative - District 47,Republican,Charles (Chuck) Basye,"2,370"
Boone,State Representative - District 47,Democratic,Adrian Plank,"2,817"
Boone,State Representative - District 50,Republican,Sara Walsh,"3,075"
Boone,State Representative - District 50,Democratic,Michela Skelton,"3,205"
Boone,Circuit Judge - Circuit 13 Division 1,Republican,Brouck Jacobs,"10,098"
Boone,Circuit Judge - Circuit 13 Division 1,Democratic,Finley Gibbs,"16,203"
Boone,Circuit Judge - Circuit 13 Division 3,Republican,Kevin Crane,"10,492"
Buchanan,U.S. Senator,Republican,Tony Monetti,923
Buchanan,U.S. Senator,Republican,Austin Petersen,679
Buchanan,U.S. Senator,Republican,Josh Hawley,"5,604"
Buchanan,U.S. Senator,Republican,Fred Ryman,156
Buchanan,U.S. Senator,Republican,Christina Smith,775
Buchanan,U.S. Senator,Republican,Kristi Nichols,"1,021"
Buchanan,U.S. Senator,Republican,Bradley Krembs,86
Buchanan,U.S. Senator,Republican,Ken Patterson,391
Buchanan,U.S. Senator,Republican,Brian G. Hagg,208
Buchanan,U.S. Senator,Republican,Courtland Sykes,141
Buchanan,U.S. Senator,Republican,Peter Pfeifer,258
Buchanan,U.S. Senator,Democratic,Carla (Coffee) Wright,438
Buchanan,U.S. Senator,Democratic,Angelica Earl,212
Buchanan,U.S. Senator,Democratic,Leonard Joseph Steinman II,132
Buchanan,U.S. Senator,Democratic,John Hogan,292
Buchanan,U.S. Senator,Democratic,Travis Gonzalez,187
Buchanan,U.S. Senator,Democratic,David Faust,197
Buchanan,U.S. Senator,Democratic,Claire McCaskill,"5,289"
Buchanan,U.S. Senator,Libertarian,Japheth Campbell,46
Buchanan,U.S. Senator,Green,Jo Crain,1
Buchanan,U.S. Senator,Green,Jerome Bauer,1
Buchanan,State Auditor,Republican,Kevin M. Roach,"2,975"
Buchanan,State Auditor,Republican,David Wasinger,"1,253"
Buchanan,State Auditor,Republican,Paul Curtman,869
Buchanan,State Auditor,Republican,Saundra McDowell,"4,091"
Buchanan,State Auditor,Democratic,Nicole Galloway,"5,626"
Buchanan,State Auditor,Libertarian,Sean O'Toole,45
Buchanan,State Auditor,Green,Don Fitz,2
Buchanan,State Auditor,Constitution,Jacob Luetkemeyer,8
Buchanan,U.S. Representative - District 6,Republican,Sam Graves,"9,383"
Buchanan,U.S. Representative - District 6,Democratic,Winston Apple,"1,547"
Buchanan,U.S. Representative - District 6,Democratic,Henry Robert Martin,"1,898"
Buchanan,U.S. Representative - District 6,Democratic,Ed Andres,"3,023"
Buchanan,U.S. Representative - District 6,Libertarian,Dan Hogan,46
Buchanan,State Senator - District 34,Republican,Tony Luetkemeyer,"4,370"
Buchanan,State Senator - District 34,Republican,Harry Roberts,"6,605"
Buchanan,State Senator - District 34,Democratic,Martin T. Rucker II,"6,136"
Buchanan,State Representative - District 9,Republican,Sheila Solon,"1,699"
Buchanan,State Representative - District 9,Republican,Tina Goodrick,327
Buchanan,State Representative - District 9,Republican,Christopher Evans,457
Buchanan,State Representative - District 9,Republican,Mik Chester,"1,160"
Buchanan,State Representative - District 9,Democratic,Bob Bergland,"1,334"
Buchanan,State Representative - District 10,Republican,Bill Falkner,"2,229"
Buchanan,State Representative - District 10,Republican,Billy Babcock,863
Buchanan,State Representative - District 10,Democratic,Shane R. Thompson,"1,227"
Buchanan,State Representative - District 10,Democratic,Austin Montee,"1,185"
Buchanan,State Representative - District 11,Republican,Lloyd Buck Graham,670
Buchanan,State Representative - District 11,Republican,Chris Shove,536
Buchanan,State Representative - District 11,Republican,Brenda Shields,"2,641"
Buchanan,State Representative - District 11,Democratic,Brady Lee O'Dell,"2,291"
Buchanan,Circuit Judge - Circuit 5 Division 1,Republican,Melissa Morgan Lawyer,"4,732"
