race name,county,party,candidate,votes
 19th Congressional District , Part of Rensselaer , DEM Primary ,Pat Ryan,579
 19th Congressional District , Part of Rensselaer , DEM Primary ,Antonio Delgado,496
 19th Congressional District , Part of Rensselaer , DEM Primary ,Jeff Beals,167
 19th Congressional District , Part of Rensselaer , DEM Primary ,Dave Clegg,80
 19th Congressional District , Part of Rensselaer , DEM Primary ,Blank,0
 19th Congressional District , Part of Rensselaer , DEM Primary ,Void,0
 19th Congressional District , Part of Rensselaer , DEM Primary ,Write-in,0
 19th Congressional District , Schoharie , DEM Primary ,Brian Flynn,146
 19th Congressional District , Schoharie , DEM Primary ,Erin Collier,103
 19th Congressional District , Schoharie , DEM Primary ,Gareth Rhodes,112
 19th Congressional District , Schoharie , DEM Primary ,Pat Ryan,145
 19th Congressional District , Schoharie , DEM Primary ,Antonio Delgado,275
 19th Congressional District , Schoharie , DEM Primary ,Jeff Beals,79
 19th Congressional District , Schoharie , DEM Primary ,Dave Clegg,50
 19th Congressional District , Schoharie , DEM Primary ,Blank,0
 19th Congressional District , Schoharie , DEM Primary ,Void,0
 19th Congressional District , Schoharie , DEM Primary ,Write-in,1
 19th Congressional District , Sullivan , DEM Primary ,Brian Flynn,313
 19th Congressional District , Sullivan , DEM Primary ,Erin Collier,99
 19th Congressional District , Sullivan , DEM Primary ,Gareth Rhodes,653
 19th Congressional District , Sullivan , DEM Primary ,Pat Ryan,245
 19th Congressional District , Sullivan , DEM Primary ,Antonio Delgado,422
 19th Congressional District , Sullivan , DEM Primary ,Jeff Beals,172
 19th Congressional District , Sullivan , DEM Primary ,Dave Clegg,407
 19th Congressional District , Sullivan , DEM Primary ,Blank,3
 19th Congressional District , Sullivan , DEM Primary ,Void,0
 19th Congressional District , Sullivan , DEM Primary ,Write-in,4
 19th Congressional District , Ulster , DEM Primary ,Brian Flynn,974
 19th Congressional District , Ulster , DEM Primary ,Erin Collier,407
 19th Congressional District , Ulster , DEM Primary ,Gareth Rhodes,"1,877"
 19th Congressional District , Ulster , DEM Primary ,Pat Ryan,"2,386"
 19th Congressional District , Ulster , DEM Primary ,Antonio Delgado,"2,723"
 19th Congressional District , Ulster , DEM Primary ,Jeff Beals,"2,121"
 19th Congressional District , Ulster , DEM Primary ,Dave Clegg,"2,573"
 19th Congressional District , Ulster , DEM Primary ,Blank,2
 19th Congressional District , Ulster , DEM Primary ,Void,4
 19th Congressional District , Ulster , DEM Primary ,Write-in,5
 21st Congressional District , Clinton , DEM Primary ,Tedra L. Cobb,"1,028"
 21st Congressional District , Clinton , DEM Primary ,Patrick F. Nelson,294
 21st Congressional District , Clinton , DEM Primary ,Dylan Ratigan,392
 21st Congressional District , Clinton , DEM Primary ,Katie Wilson,476
 21st Congressional District , Clinton , DEM Primary ,Emily Martz,273
 21st Congressional District , Clinton , DEM Primary ,Don Boyajian,7
 21st Congressional District , Clinton , DEM Primary ,Blank,1
 21st Congressional District , Clinton , DEM Primary ,Void,1
 21st Congressional District , Clinton , DEM Primary ,Write-in,8
 21st Congressional District , Essex , DEM Primary ,Tedra L. Cobb,707
 21st Congressional District , Essex , DEM Primary ,Patrick F. Nelson,107
 21st Congressional District , Essex , DEM Primary ,Dylan Ratigan,215
 21st Congressional District , Essex , DEM Primary ,Katie Wilson,340
 21st Congressional District , Essex , DEM Primary ,Emily Martz,268
 21st Congressional District , Essex , DEM Primary ,Don Boyajian,6
 21st Congressional District , Essex , DEM Primary ,Blank,0
 21st Congressional District , Essex , DEM Primary ,Void,2
 21st Congressional District , Essex , DEM Primary ,Write-in,5
 21st Congressional District , Franklin , DEM Primary ,Tedra L. Cobb,815
 21st Congressional District , Franklin , DEM Primary ,Patrick F. Nelson,90
 21st Congressional District , Franklin , DEM Primary ,Dylan Ratigan,205
 21st Congressional District , Franklin , DEM Primary ,Katie Wilson,119
 21st Congressional District , Franklin , DEM Primary ,Emily Martz,271
 21st Congressional District , Franklin , DEM Primary ,Don Boyajian,6
 21st Congressional District , Franklin , DEM Primary ,Blank,2
 21st Congressional District , Franklin , DEM Primary ,Void,1
 21st Congressional District , Franklin , DEM Primary ,Write-in,2
 21st Congressional District , Fulton , DEM Primary ,Tedra L. Cobb,393
 21st Congressional District , Fulton , DEM Primary ,Patrick F. Nelson,75
 21st Congressional District , Fulton , DEM Primary ,Dylan Ratigan,99
 21st Congressional District , Fulton , DEM Primary ,Katie Wilson,82
 21st Congressional District , Fulton , DEM Primary ,Emily Martz,60
 21st Congressional District , Fulton , DEM Primary ,Don Boyajian,5
 21st Congressional District , Fulton , DEM Primary ,Blank,0
 21st Congressional District , Fulton , DEM Primary ,Void,1
 21st Congressional District , Fulton , DEM Primary ,Write-in,4
 21st Congressional District , Hamilton , DEM Primary ,Tedra L. Cobb,103
 21st Congressional District , Hamilton , DEM Primary ,Patrick F. Nelson,17
 21st Congressional District , Hamilton , DEM Primary ,Dylan Ratigan,15
 21st Congressional District , Hamilton , DEM Primary ,Katie Wilson,48
 21st Congressional District , Hamilton , DEM Primary ,Emily Martz,34
 21st Congressional District , Hamilton , DEM Primary ,Don Boyajian,1
 21st Congressional District , Hamilton , DEM Primary ,Blank,0
 21st Congressional District , Hamilton , DEM Primary ,Void,0
 21st Congressional District , Hamilton , DEM Primary ,Write-in,0
 21st Congressional District , Part of Herkimer , DEM Primary ,Tedra L. Cobb,32
 21st Congressional District , Part of Herkimer , DEM Primary ,Patrick F. Nelson,24
 21st Congressional District , Part of Herkimer , DEM Primary ,Dylan Ratigan,42
 21st Congressional District , Part of Herkimer , DEM Primary ,Katie Wilson,21
 21st Congressional District , Part of Herkimer , DEM Primary ,Emily Martz,26
 21st Congressional District , Part of Herkimer , DEM Primary ,Don Boyajian,2
 21st Congressional District , Part of Herkimer , DEM Primary ,Blank,0
 21st Congressional District , Part of Herkimer , DEM Primary ,Void,0
 21st Congressional District , Part of Herkimer , DEM Primary ,Write-in,0
 21st Congressional District , Jefferson , DEM Primary ,Tedra L. Cobb,"1,077"
 21st Congressional District , Jefferson , DEM Primary ,Patrick F. Nelson,120
 21st Congressional District , Jefferson , DEM Primary ,Dylan Ratigan,226
 21st Congressional District , Jefferson , DEM Primary ,Katie Wilson,179
 21st Congressional District , Jefferson , DEM Primary ,Emily Martz,141
 21st Congressional District , Jefferson , DEM Primary ,Don Boyajian,9
 21st Congressional District , Jefferson , DEM Primary ,Blank,2
 21st Congressional District , Jefferson , DEM Primary ,Void,0
 21st Congressional District , Jefferson , DEM Primary ,Write-in,9
 21st Congressional District , Lewis , DEM Primary ,Tedra L. Cobb,190
 21st Congressional District , Lewis , DEM Primary ,Patrick F. Nelson,35
 21st Congressional District , Lewis , DEM Primary ,Dylan Ratigan,33
 21st Congressional District , Lewis , DEM Primary ,Katie Wilson,49
 21st Congressional District , Lewis , DEM Primary ,Emily Martz,67
 21st Congressional District , Lewis , DEM Primary ,Don Boyajian,0
 21st Congressional District , Lewis , DEM Primary ,Blank,1
 21st Congressional District , Lewis , DEM Primary ,Void,0
 21st Congressional District , Lewis , DEM Primary ,Write-in,1
 21st Congressional District , Part of Saratoga , DEM Primary ,Tedra L. Cobb,"1,160"
 21st Congressional District , Part of Saratoga , DEM Primary ,Patrick F. Nelson,370
 21st Congressional District , Part of Saratoga , DEM Primary ,Dylan Ratigan,189
 21st Congressional District , Part of Saratoga , DEM Primary ,Katie Wilson,238
 21st Congressional District , Part of Saratoga , DEM Primary ,Emily Martz,194
 21st Congressional District , Part of Saratoga , DEM Primary ,Don Boyajian,27
 21st Congressional District , Part of Saratoga , DEM Primary ,Blank,2
 21st Congressional District , Part of Saratoga , DEM Primary ,Void,1
 21st Congressional District , Part of Saratoga , DEM Primary ,Write-in,1
 21st Congressional District , St.Lawrence , DEM Primary ,Tedra L. Cobb,"2,935"
 21st Congressional District , St.Lawrence , DEM Primary ,Patrick F. Nelson,188
 21st Congressional District , St.Lawrence , DEM Primary ,Dylan Ratigan,311
 21st Congressional District , St.Lawrence , DEM Primary ,Katie Wilson,212
 21st Congressional District , St.Lawrence , DEM Primary ,Emily Martz,103
 21st Congressional District , St.Lawrence , DEM Primary ,Don Boyajian,10
 21st Congressional District , St.Lawrence , DEM Primary ,Blank,1
 21st Congressional District , St.Lawrence , DEM Primary ,Void,2
 21st Congressional District , St.Lawrence , DEM Primary ,Write-in,13
 21st Congressional District , Warren , DEM Primary ,Tedra L. Cobb,"1,054"
 21st Congressional District , Warren , DEM Primary ,Patrick F. Nelson,220
 21st Congressional District , Warren , DEM Primary ,Dylan Ratigan,172
 21st Congressional District , Warren , DEM Primary ,Katie Wilson,233
 21st Congressional District , Warren , DEM Primary ,Emily Martz,374
 21st Congressional District , Warren , DEM Primary ,Don Boyajian,20
 21st Congressional District , Warren , DEM Primary ,Blank,2
 21st Congressional District , Warren , DEM Primary ,Void,0
 21st Congressional District , Warren , DEM Primary ,Write-in,4
 21st Congressional District , Washington , DEM Primary ,Tedra L. Cobb,853
 21st Congressional District , Washington , DEM Primary ,Patrick F. Nelson,145
 21st Congressional District , Washington , DEM Primary ,Dylan Ratigan,301
 21st Congressional District , Washington , DEM Primary ,Katie Wilson,160
 21st Congressional District , Washington , DEM Primary ,Emily Martz,104
 21st Congressional District , Washington , DEM Primary ,Don Boyajian,9
 21st Congressional District , Washington , DEM Primary ,Blank,1
 21st Congressional District , Washington , DEM Primary ,Void,0
 21st Congressional District , Washington , DEM Primary ,Write-in,2
 23rd Congressional District , Allegany , DEM Primary ,Tracy Mitrano,260
 23rd Congressional District , Allegany , DEM Primary ,Ian Golden,144
 23rd Congressional District , Allegany , DEM Primary ,Max Della Pia,139
 23rd Congressional District , Allegany , DEM Primary ,Edward A. Sundquist,40
 23rd Congressional District , Allegany , DEM Primary ,Linda Andrei,120
 23rd Congressional District , Allegany , DEM Primary ,Blank,1
 23rd Congressional District , Allegany , DEM Primary ,Void,0
 23rd Congressional District , Allegany , DEM Primary ,Write-in,1
 23rd Congressional District , Cattaraugus , DEM Primary ,Tracy Mitrano,235
 23rd Congressional District , Cattaraugus , DEM Primary ,Ian Golden,136
 23rd Congressional District , Cattaraugus , DEM Primary ,Max Della Pia,256
 23rd Congressional District , Cattaraugus , DEM Primary ,Edward A. Sundquist,257
 23rd Congressional District , Cattaraugus , DEM Primary ,Linda Andrei,331
 23rd Congressional District , Cattaraugus , DEM Primary ,Blank,3
 23rd Congressional District , Cattaraugus , DEM Primary ,Void,1
 23rd Congressional District , Cattaraugus , DEM Primary ,Write-in,2
 23rd Congressional District , Chautauqua , DEM Primary ,Tracy Mitrano,983
 23rd Congressional District , Chautauqua , DEM Primary ,Ian Golden,265
 23rd Congressional District , Chautauqua , DEM Primary ,Max Della Pia,694
 23rd Congressional District , Chautauqua , DEM Primary ,Edward A. Sundquist,737
 23rd Congressional District , Chautauqua , DEM Primary ,Linda Andrei,659
 23rd Congressional District , Chautauqua , DEM Primary ,Blank,2
 23rd Congressional District , Chautauqua , DEM Primary ,Void,3
 23rd Congressional District , Chautauqua , DEM Primary ,Write-in,8
 23rd Congressional District , Chemung , DEM Primary ,Tracy Mitrano,505
 23rd Congressional District , Chemung , DEM Primary ,Ian Golden,418
 23rd Congressional District , Chemung , DEM Primary ,Max Della Pia,427
 23rd Congressional District , Chemung , DEM Primary ,Edward A. Sundquist,54
 23rd Congressional District , Chemung , DEM Primary ,Linda Andrei,472
 23rd Congressional District , Chemung , DEM Primary ,Blank,2
 23rd Congressional District , Chemung , DEM Primary ,Void,1
 23rd Congressional District , Chemung , DEM Primary ,Write-in,9
 23rd Congressional District , Part of Ontario , DEM Primary ,Tracy Mitrano,397
 23rd Congressional District , Part of Ontario , DEM Primary ,Ian Golden,178
 23rd Congressional District , Part of Ontario , DEM Primary ,Max Della Pia,296
 23rd Congressional District , Part of Ontario , DEM Primary ,Edward A. Sundquist,20
 23rd Congressional District , Part of Ontario , DEM Primary ,Linda Andrei,174
 23rd Congressional District , Part of Ontario , DEM Primary ,Blank,0
 23rd Congressional District , Part of Ontario , DEM Primary ,Void,0
 23rd Congressional District , Part of Ontario , DEM Primary ,Write-in,5
 23rd Congressional District , Schuyler , DEM Primary ,Tracy Mitrano,308
 23rd Congressional District , Schuyler , DEM Primary ,Ian Golden,76
 23rd Congressional District , Schuyler , DEM Primary ,Max Della Pia,195
 23rd Congressional District , Schuyler , DEM Primary ,Edward A. Sundquist,10
 23rd Congressional District , Schuyler , DEM Primary ,Linda Andrei,90
 23rd Congressional District , Schuyler , DEM Primary ,Blank,1
 23rd Congressional District , Schuyler , DEM Primary ,Void,0
 23rd Congressional District , Schuyler , DEM Primary ,Write-in,0
 23rd Congressional District , Seneca , DEM Primary ,Tracy Mitrano,334
 23rd Congressional District , Seneca , DEM Primary ,Ian Golden,73
 23rd Congressional District , Seneca , DEM Primary ,Max Della Pia,335
 23rd Congressional District , Seneca , DEM Primary ,Edward A. Sundquist,27
 23rd Congressional District , Seneca , DEM Primary ,Linda Andrei,169
 23rd Congressional District , Seneca , DEM Primary ,Blank,0
 23rd Congressional District , Seneca , DEM Primary ,Void,0
 23rd Congressional District , Seneca , DEM Primary ,Write-in,0
 23rd Congressional District , Steuben , DEM Primary ,Tracy Mitrano,587
 23rd Congressional District , Steuben , DEM Primary ,Ian Golden,318
 23rd Congressional District , Steuben , DEM Primary ,Max Della Pia,624
 23rd Congressional District , Steuben , DEM Primary ,Edward A. Sundquist,70
 23rd Congressional District , Steuben , DEM Primary ,Linda Andrei,379
 23rd Congressional District , Steuben , DEM Primary ,Blank,0
 23rd Congressional District , Steuben , DEM Primary ,Void,0
 23rd Congressional District , Steuben , DEM Primary ,Write-in,2
 23rd Congressional District , Part of Tioga , DEM Primary ,Tracy Mitrano,151
 23rd Congressional District , Part of Tioga , DEM Primary ,Ian Golden,93
 23rd Congressional District , Part of Tioga , DEM Primary ,Max Della Pia,597
 23rd Congressional District , Part of Tioga , DEM Primary ,Edward A. Sundquist,6
 23rd Congressional District , Part of Tioga , DEM Primary ,Linda Andrei,107
 23rd Congressional District , Part of Tioga , DEM Primary ,Blank,0
 23rd Congressional District , Part of Tioga , DEM Primary ,Void,0
 23rd Congressional District , Part of Tioga , DEM Primary ,Write-in,0
 23rd Congressional District , Tompkins , DEM Primary ,Tracy Mitrano,"2,876"
 23rd Congressional District , Tompkins , DEM Primary ,Ian Golden,"1,169"
 23rd Congressional District , Tompkins , DEM Primary ,Max Della Pia,"3,383"
 23rd Congressional District , Tompkins , DEM Primary ,Edward A. Sundquist,160
 23rd Congressional District , Tompkins , DEM Primary ,Linda Andrei,762
 23rd Congressional District , Tompkins , DEM Primary ,Blank,4
 23rd Congressional District , Tompkins , DEM Primary ,Void,2
 23rd Congressional District , Tompkins , DEM Primary ,Write-in,7
 23rd Congressional District , Yates , DEM Primary ,Tracy Mitrano,360
 23rd Congressional District , Yates , DEM Primary ,Ian Golden,48
 23rd Congressional District , Yates , DEM Primary ,Max Della Pia,76
 23rd Congressional District , Yates , DEM Primary ,Edward A. Sundquist,14
 23rd Congressional District , Yates , DEM Primary ,Linda Andrei,67
 23rd Congressional District , Yates , DEM Primary ,Blank,1
 23rd Congressional District , Yates , DEM Primary ,Void,0
 23rd Congressional District , Yates , DEM Primary ,Write-in,0
 24th Congressional District , Cayuga , DEM Primary ,Dana Balter,"1,280"
 24th Congressional District , Cayuga , DEM Primary ,Juanita Perez Williams,676
 24th Congressional District , Cayuga , DEM Primary ,Blank,2
 24th Congressional District , Cayuga , DEM Primary ,Void,1
 24th Congressional District , Cayuga , DEM Primary ,Write-in,5
 24th Congressional District , Onondaga , DEM Primary ,Dana Balter,"10,934"
 24th Congressional District , Onondaga , DEM Primary ,Juanita Perez Williams,"6,774"
 24th Congressional District , Onondaga , DEM Primary ,Blank,18
 24th Congressional District , Onondaga , DEM Primary ,Void,2
 24th Congressional District , Onondaga , DEM Primary ,Write-in,48
 24th Congressional District , Part of Oswego , DEM Primary ,Dana Balter,928
 24th Congressional District , Part of Oswego , DEM Primary ,Juanita Perez Williams,474
 24th Congressional District , Part of Oswego , DEM Primary ,Blank,2
 24th Congressional District , Part of Oswego , DEM Primary ,Void,1
 24th Congressional District , Part of Oswego , DEM Primary ,Write-in,0
 24th Congressional District , Wayne , DEM Primary ,Dana Balter,750
 24th Congressional District , Wayne , DEM Primary ,Juanita Perez Williams,367
 24th Congressional District , Wayne , DEM Primary ,Blank,2
 24th Congressional District , Wayne , DEM Primary ,Void,1
 24th Congressional District , Wayne , DEM Primary ,Write-in,5
 25th Congressional District , Part of Monroe , DEM Primary ,Joseph D. Morelle,"15,303"
 25th Congressional District , Part of Monroe , DEM Primary ,Adam C. McFadden,"5,896"
