"Precinct_Name","Split_Name","precinct_splitId","Reg_voters","Ballots","Reporting","Contest_id","Contest_title","Contest_party","Choice_id","Candidate_name","Choice_party","Candidate_Type","Absentee_votes","Early_votes","Election_Votes"
"01-01","","1","2863","1067","1","13","Governor - D","","42","KIM, Richard Y.","","C","4","0","3"
"01-01","","1","2863","1067","1","14","Governor - N","","43","TERUYA, Terrence K.","","C","1","0","0"
"01-01","","1","2863","1067","1","14","Governor - N","","44","BLACKWELL, Selina T.","","C","2","0","1"
"01-01","","1","2863","1067","1","14","Governor - N","","45","EL, Link","","C","0","0","1"
"01-01","","1","2863","1067","1","15","Governor - R","","46","TUPOLA, Andria","","C","16","4","18"
"01-01","","1","2863","1067","1","15","Governor - R","","47","CARROLL, John","","C","19","4","6"
"01-01","","1","2863","1067","1","15","Governor - R","","48","LHEUREUX, Ray","","C","3","0","4"
"01-01","","1","2863","1067","1","16","Lieutenant Governor - G","","49","ING, Renee","","C","0","0","2"
"01-01","","1","2863","1067","1","17","Lieutenant Governor - D","","50","GREEN, Josh","","C","230","41","143"
"01-01","","1","2863","1067","1","17","Lieutenant Governor - D","","51","TOKUDA, Jill N.","","C","111","9","48"
"01-01","","1","2863","1067","1","17","Lieutenant Governor - D","","52","CARVALHO, Bernard P., Jr.","","C","117","13","51"
"01-01","","1","2863","1067","1","17","Lieutenant Governor - D","","53","IWAMOTO, Kim Coco","","C","61","9","59"
"01-01","","1","2863","1067","1","17","Lieutenant Governor - D","","54","ESPERO, Will","","C","16","3","14"
"01-01","","1","2863","1067","1","18","Lieutenant Governor - N","","55","ROBOTTI, Paul F.","","C","2","0","2"
"01-01","","1","2863","1067","1","18","Lieutenant Governor - N","","56","MAGAOAY, Ernest G.","","C","1","0","0"
"01-01","","1","2863","1067","1","19","Lieutenant Governor - R","","57","LIPSCOMB, Steve","","C","13","2","4"
"01-01","","1","2863","1067","1","19","Lieutenant Governor - R","","58","KERNS, Marissa Dipasupil","","C","9","4","15"
"01-01","","1","2863","1067","1","19","Lieutenant Governor - R","","59","LOW, Jeremy","","C","15","2","5"
"01-01","","1","2863","1067","1","24","State Senator, Dist 4 - D","","65","INOUYE, Lorraine Rodero","","C","330","41","151"
"01-01","","1","2863","1067","1","24","State Senator, Dist 4 - D","","66","KIMBALL, Heather L.","","C","204","35","162"
"01-01","","1","2863","1067","1","41","State Representative, Dist 1 - D","","93","NAKASHIMA, Mark M.","","C","364","52","172"
"01-01","","1","2863","1067","1","41","State Representative, Dist 1 - D","","94","PAIK-MANDER, Koohan","","C","160","24","142"
"01-01","","1","2863","1067","1","119","Oahu Resident Trustee","","214","KIA'AINA, Esther","","C","46","12","37"
"01-01","","1","2863","1067","1","119","Oahu Resident Trustee","","215","KING, Samuel Wilder, II","","C","39","11","28"
"01-01","","1","2863","1067","1","119","Oahu Resident Trustee","","216","AKAKA, Kalei","","C","157","24","97"
"01-01","","1","2863","1067","1","119","Oahu Resident Trustee","","217","BURKE, Jackie Kahookele","","C","15","1","6"
"01-01","","1","2863","1067","1","119","Oahu Resident Trustee","","218","MOSSMAN, Paul","","C","40","4","21"
"01-01","","1","2863","1067","1","119","Oahu Resident Trustee","","219","KALIMA, Leona Mapuana","","C","27","2","16"
"01-01","","1","2863","1067","1","119","Oahu Resident Trustee","","220","MURRAY, Francine Kanani","","C","18","1","6"
"01-01","","1","2863","1067","1","120","At-Large Trustee","","221","AHU ISA, Lei (Leina'ala)","","C","58","13","37"
"01-01","","1","2863","1067","1","120","At-Large Trustee","","222","AKANA, Rowena Noelani","","C","140","22","76"
"01-01","","1","2863","1067","1","120","At-Large Trustee","","223","AMSTERDAM, C. Kaui Jochanan","","C","12","5","9"
"01-01","","1","2863","1067","1","120","At-Large Trustee","","224","LEE, Brendon Kalei'aina","","C","77","17","49"
"01-01","","1","2863","1067","1","120","At-Large Trustee","","225","PAIKAI, Landen D.K.K.","","C","38","8","17"
"01-01","","1","2863","1067","1","120","At-Large Trustee","","226","RYAN, Pohai","","C","35","5","18"
"01-01","","1","2863","1067","1","120","At-Large Trustee","","227","PA'ALUHI, Marc Kalai","","C","18","4","9"
"01-01","","1","2863","1067","1","120","At-Large Trustee","","228","AILA, William J., Jr.","","C","70","17","37"
"01-01","","1","2863","1067","1","120","At-Large Trustee","","229","AKINA, Alvin A. (Auhana)","","C","46","8","30"
"01-01","","1","2863","1067","1","120","At-Large Trustee","","230","HANOHANO, Faye (Pua)","","C","143","22","91"
"01-01","","1","2863","1067","1","120","At-Large Trustee","","231","MAKEKAU, Keali'i","","C","65","10","27"
"01-01","","1","2863","1067","1","120","At-Large Trustee","","232","PARIS, Makana","","C","49","8","38"
"01-01","","1","2863","1067","1","120","At-Large Trustee","","233","WAIHEE, John D., IV","","C","224","22","104"
"01-01","","1","2863","1067","1","120","At-Large Trustee","","234","PUUOHAU, Kali","","C","6","0","12"
"01-01","","1","2863","1067","1","120","At-Large Trustee","","235","SHARSH-DAVIS, Lei","","C","16","3","10"
"01-01","","1","2863","1067","1","121","Councilmember, Dist 1","","236","POINDEXTER, Valerie T.","","C","445","65","260"
"01-01","","1","2863","1067","1","121","Councilmember, Dist 1","","237","SADEGH, Abolghassem A.","","C","107","14","65"
"01-02","","2","932","420","1","2","U.S. Senator - D","","7","HIRONO, Mazie K.","","C","163","21","122"
"01-02","","2","932","420","1","3","U.S. Senator - N","","8","REYES, Arturo Pacheco","","C","3","0","0"
"01-02","","2","932","420","1","3","U.S. Senator - N","","9","HAVERTY, Charles (Charlie)","","C","0","0","0"
"01-02","","2","932","420","1","3","U.S. Senator - N","","10","MAERTENS, Matthew K.","","C","0","0","0"
"01-02","","2","932","420","1","4","U.S. Senator - R","","11","ANDERSON, Consuelo","","C","1","0","1"
"01-02","","2","932","420","1","4","U.S. Senator - R","","12","HELSHAM, Robert C., Sr.","","C","8","0","0"
"01-02","","2","932","420","1","4","U.S. Senator - R","","13","WHITE, Thomas E.","","C","0","0","2"
"01-02","","2","932","420","1","4","U.S. Senator - R","","14","DE LA FUENTE, Rocky Mamaka","","C","1","0","2"
"01-02","","2","932","420","1","4","U.S. Senator - R","","15","CURTIS, Ron","","C","3","0","2"
"01-02","","2","932","420","1","4","U.S. Senator - R","","16","HODGKISS, Michael R.","","C","0","0","1"
"01-02","","2","932","420","1","4","U.S. Senator - R","","17","BERISH, George L.","","C","0","0","1"
"01-02","","2","932","420","1","4","U.S. Senator - R","","18","PIRKOWSKI, Eddie","","C","0","0","1"
"01-02","","2","932","420","1","10","U.S. Representative, Dist II - D","","32","AUSTIN, Anthony Tony","","C","6","1","11"
"01-02","","2","932","420","1","10","U.S. Representative, Dist II - D","","33","GABBARD, Tulsi","","C","172","22","100"
"01-02","","2","932","420","1","10","U.S. Representative, Dist II - D","","34","ALU CAMPAGNA, Sherry","","C","12","3","22"
"01-02","","2","932","420","1","11","U.S. Representative, Dist II - R","","35","EVANS, Brian","","C","13","0","9"
"01-02","","2","932","420","1","12","Governor - G","","36","BREWER, Jim","","C","0","0","0"
"01-02","","2","932","420","1","13","Governor - D","","37","CARAVALHO, Ernest","","C","5","0","4"
"01-02","","2","932","420","1","13","Governor - D","","38","KA'EHU'AE'A, Wendell J.","","C","0","0","1"
"01-02","","2","932","420","1","13","Governor - D","","39","TANABE, Van (Tanaban)","","C","2","1","0"
"01-02","","2","932","420","1","13","Governor - D","","40","IGE, David Y.","","C","112","19","74"
"01-02","","2","932","420","1","13","Governor - D","","41","HANABUSA, Colleen Wakako","","C","85","10","63"
"01-02","","2","932","420","1","13","Governor - D","","42","KIM, Richard Y.","","C","0","0","1"
"01-02","","2","932","420","1","14","Governor - N","","43","TERUYA, Terrence K.","","C","2","0","0"
"01-02","","2","932","420","1","14","Governor - N","","44","BLACKWELL, Selina T.","","C","0","0","0"
"01-02","","2","932","420","1","14","Governor - N","","45","EL, Link","","C","1","0","0"
"01-02","","2","932","420","1","15","Governor - R","","46","TUPOLA, Andria","","C","6","0","5"
"01-02","","2","932","420","1","15","Governor - R","","47","CARROLL, John","","C","5","0","4"
"01-02","","2","932","420","1","15","Governor - R","","48","LHEUREUX, Ray","","C","4","0","3"
"01-02","","2","932","420","1","16","Lieutenant Governor - G","","49","ING, Renee","","C","0","0","0"
"01-02","","2","932","420","1","17","Lieutenant Governor - D","","50","GREEN, Josh","","C","84","17","70"
"01-02","","2","932","420","1","17","Lieutenant Governor - D","","51","TOKUDA, Jill N.","","C","38","1","24"
"01-02","","2","932","420","1","17","Lieutenant Governor - D","","52","CARVALHO, Bernard P., Jr.","","C","49","8","16"
"01-02","","2","932","420","1","17","Lieutenant Governor - D","","53","IWAMOTO, Kim Coco","","C","26","4","25"
"01-02","","2","932","420","1","17","Lieutenant Governor - D","","54","ESPERO, Will","","C","4","0","4"
"01-02","","2","932","420","1","18","Lieutenant Governor - N","","55","ROBOTTI, Paul F.","","C","0","0","0"
"01-02","","2","932","420","1","18","Lieutenant Governor - N","","56","MAGAOAY, Ernest G.","","C","3","0","0"
"01-02","","2","932","420","1","19","Lieutenant Governor - R","","57","LIPSCOMB, Steve","","C","6","0","6"
"01-02","","2","932","420","1","19","Lieutenant Governor - R","","58","KERNS, Marissa Dipasupil","","C","7","0","3"
"01-02","","2","932","420","1","19","Lieutenant Governor - R","","59","LOW, Jeremy","","C","1","0","2"
"01-02","","2","932","420","1","24","State Senator, Dist 4 - D","","65","INOUYE, Lorraine Rodero","","C","121","19","70"
"01-02","","2","932","420","1","24","State Senator, Dist 4 - D","","66","KIMBALL, Heather L.","","C","83","10","66"
"01-02","","2","932","420","1","41","State Representative, Dist 1 - D","","93","NAKASHIMA, Mark M.","","C","131","20","82"
"01-02","","2","932","420","1","41","State Representative, Dist 1 - D","","94","PAIK-MANDER, Koohan","","C","67","9","56"
"01-02","","2","932","420","1","119","Oahu Resident Trustee","","214","KIA'AINA, Esther","","C","24","7","17"
"01-02","","2","932","420","1","119","Oahu Resident Trustee","","215","KING, Samuel Wilder, II","","C","28","3","9"
"01-02","","2","932","420","1","119","Oahu Resident Trustee","","216","AKAKA, Kalei","","C","53","5","35"
"01-02","","2","932","420","1","119","Oahu Resident Trustee","","217","BURKE, Jackie Kahookele","","C","1","0","6"
"01-02","","2","932","420","1","119","Oahu Resident Trustee","","218","MOSSMAN, Paul","","C","8","2","7"
"01-02","","2","932","420","1","119","Oahu Resident Trustee","","219","KALIMA, Leona Mapuana","","C","8","1","7"
"01-02","","2","932","420","1","119","Oahu Resident Trustee","","220","MURRAY, Francine Kanani","","C","3","1","10"
"01-02","","2","932","420","1","120","At-Large Trustee","","221","AHU ISA, Lei (Leina'ala)","","C","17","5","20"
"01-02","","2","932","420","1","120","At-Large Trustee","","222","AKANA, Rowena Noelani","","C","51","4","27"
"01-02","","2","932","420","1","120","At-Large Trustee","","223","AMSTERDAM, C. Kaui Jochanan","","C","5","3","4"
"01-02","","2","932","420","1","120","At-Large Trustee","","224","LEE, Brendon Kalei'aina","","C","32","6","13"
"01-02","","2","932","420","1","120","At-Large Trustee","","225","PAIKAI, Landen D.K.K.","","C","22","2","10"
"01-02","","2","932","420","1","120","At-Large Trustee","","226","RYAN, Pohai","","C","25","1","7"
"01-02","","2","932","420","1","120","At-Large Trustee","","227","PA'ALUHI, Marc Kalai","","C","8","2","5"
"01-02","","2","932","420","1","120","At-Large Trustee","","228","AILA, William J., Jr.","","C","35","9","23"
"01-02","","2","932","420","1","120","At-Large Trustee","","229","AKINA, Alvin A. (Auhana)","","C","14","1","8"
"01-02","","2","932","420","1","120","At-Large Trustee","","230","HANOHANO, Faye (Pua)","","C","37","6","31"
"01-02","","2","932","420","1","120","At-Large Trustee","","231","MAKEKAU, Keali'i","","C","23","4","12"
"01-02","","2","932","420","1","120","At-Large Trustee","","232","PARIS, Makana","","C","24","3","16"
"01-02","","2","932","420","1","120","At-Large Trustee","","233","WAIHEE, John D., IV","","C","63","7","43"
"01-02","","2","932","420","1","120","At-Large Trustee","","234","PUUOHAU, Kali","","C","4","1","0"
"01-02","","2","932","420","1","120","At-Large Trustee","","235","SHARSH-DAVIS, Lei","","C","7","1","6"
"01-02","","2","932","420","1","121","Councilmember, Dist 1","","236","POINDEXTER, Valerie T.","","C","174","23","114"
"01-02","","2","932","420","1","121","Councilmember, Dist 1","","237","SADEGH, Abolghassem A.","","C","38","4","22"
"01-03","","3","1023","469","1","2","U.S. Senator - D","","7","HIRONO, Mazie K.","","C","211","38","128"
"01-03","","3","1023","469","1","3","U.S. Senator - N","","8","REYES, Arturo Pacheco","","C","0","0","0"
"01-03","","3","1023","469","1","3","U.S. Senator - N","","9","HAVERTY, Charles (Charlie)","","C","0","0","0"
"01-03","","3","1023","469","1","3","U.S. Senator - N","","10","MAERTENS, Matthew K.","","C","0","0","0"
"01-03","","3","1023","469","1","4","U.S. Senator - R","","11","ANDERSON, Consuelo","","C","3","0","1"
"01-03","","3","1023","469","1","4","U.S. Senator - R","","12","HELSHAM, Robert C., Sr.","","C","3","0","1"
"01-03","","3","1023","469","1","4","U.S. Senator - R","","13","WHITE, Thomas E.","","C","2","0","2"
"01-03","","3","1023","469","1","4","U.S. Senator - R","","14","DE LA FUENTE, Rocky Mamaka","","C","2","0","0"
"01-03","","3","1023","469","1","4","U.S. Senator - R","","15","CURTIS, Ron","","C","4","0","2"
"01-03","","3","1023","469","1","4","U.S. Senator - R","","16","HODGKISS, Michael R.","","C","0","0","0"
"01-03","","3","1023","469","1","4","U.S. Senator - R","","17","BERISH, George L.","","C","0","0","0"
"01-03","","3","1023","469","1","4","U.S. Senator - R","","18","PIRKOWSKI, Eddie","","C","0","0","1"
"01-03","","3","1023","469","1","10","U.S. Representative, Dist II - D","","32","AUSTIN, Anthony Tony","","C","8","3","5"
"01-03","","3","1023","469","1","10","U.S. Representative, Dist II - D","","33","GABBARD, Tulsi","","C","200","32","118"
"01-03","","3","1023","469","1","10","U.S. Representative, Dist II - D","","34","ALU CAMPAGNA, Sherry","","C","24","8","10"
"01-03","","3","1023","469","1","11","U.S. Representative, Dist II - R","","35","EVANS, Brian","","C","14","0","5"
"01-03","","3","1023","469","1","12","Governor - G","","36","BREWER, Jim","","C","1","0","0"
"01-03","","3","1023","469","1","13","Governor - D","","37","CARAVALHO, Ernest","","C","12","1","8"
"01-03","","3","1023","469","1","13","Governor - D","","38","KA'EHU'AE'A, Wendell J.","","C","2","1","3"
"01-03","","3","1023","469","1","13","Governor - D","","39","TANABE, Van (Tanaban)","","C","0","0","0"
"01-03","","3","1023","469","1","13","Governor - D","","40","IGE, David Y.","","C","104","18","71"
"01-03","","3","1023","469","1","13","Governor - D","","41","HANABUSA, Colleen Wakako","","C","121","23","65"
"01-03","","3","1023","469","1","13","Governor - D","","42","KIM, Richard Y.","","C","2","0","0"
"01-03","","3","1023","469","1","14","Governor - N","","43","TERUYA, Terrence K.","","C","0","0","0"
"01-03","","3","1023","469","1","14","Governor - N","","44","BLACKWELL, Selina T.","","C","0","0","0"
"01-03","","3","1023","469","1","14","Governor - N","","45","EL, Link","","C","0","0","0"
"01-03","","3","1023","469","1","15","Governor - R","","46","TUPOLA, Andria","","C","6","0","4"
"01-03","","3","1023","469","1","15","Governor - R","","47","CARROLL, John","","C","10","0","3"
"01-03","","3","1023","469","1","15","Governor - R","","48","LHEUREUX, Ray","","C","3","0","0"
"01-03","","3","1023","469","1","16","Lieutenant Governor - G","","49","ING, Renee","","C","1","0","0"
"01-03","","3","1023","469","1","17","Lieutenant Governor - D","","50","GREEN, Josh","","C","112","18","57"
"01-03","","3","1023","469","1","17","Lieutenant Governor - D","","51","TOKUDA, Jill N.","","C","43","7","31"
"01-03","","3","1023","469","1","17","Lieutenant Governor - D","","52","CARVALHO, Bernard P., Jr.","","C","57","11","23"
"01-03","","3","1023","469","1","17","Lieutenant Governor - D","","53","IWAMOTO, Kim Coco","","C","18","5","21"
"01-03","","3","1023","469","1","17","Lieutenant Governor - D","","54","ESPERO, Will","","C","8","1","6"
"01-03","","3","1023","469","1","18","Lieutenant Governor - N","","55","ROBOTTI, Paul F.","","C","0","0","0"
"01-03","","3","1023","469","1","18","Lieutenant Governor - N","","56","MAGAOAY, Ernest G.","","C","0","0","0"
"01-03","","3","1023","469","1","19","Lieutenant Governor - R","","57","LIPSCOMB, Steve","","C","9","0","4"
"01-03","","3","1023","469","1","19","Lieutenant Governor - R","","58","KERNS, Marissa Dipasupil","","C","5","0","3"
"01-03","","3","1023","469","1","19","Lieutenant Governor - R","","59","LOW, Jeremy","","C","4","0","1"
"01-03","","3","1023","469","1","24","State Senator, Dist 4 - D","","65","INOUYE, Lorraine Rodero","","C","142","24","69"
"01-03","","3","1023","469","1","24","State Senator, Dist 4 - D","","66","KIMBALL, Heather L.","","C","103","19","73"
"01-03","","3","1023","469","1","41","State Representative, Dist 1 - D","","93","NAKASHIMA, Mark M.","","C","152","23","88"
"01-03","","3","1023","469","1","41","State Representative, Dist 1 - D","","94","PAIK-MANDER, Koohan","","C","93","16","49"
"01-03","","3","1023","469","1","119","Oahu Resident Trustee","","214","KIA'AINA, Esther","","C","28","2","10"
"01-03","","3","1023","469","1","119","Oahu Resident Trustee","","215","KING, Samuel Wilder, II","","C","15","5","12"
"01-03","","3","1023","469","1","119","Oahu Resident Trustee","","216","AKAKA, Kalei","","C","56","9","34"
"01-03","","3","1023","469","1","119","Oahu Resident Trustee","","217","BURKE, Jackie Kahookele","","C","7","1","4"
"01-03","","3","1023","469","1","119","Oahu Resident Trustee","","218","MOSSMAN, Paul","","C","10","4","5"
"01-03","","3","1023","469","1","119","Oahu Resident Trustee","","219","KALIMA, Leona Mapuana","","C","16","2","5"
"01-03","","3","1023","469","1","119","Oahu Resident Trustee","","220","MURRAY, Francine Kanani","","C","8","0","8"
"01-03","","3","1023","469","1","120","At-Large Trustee","","221","AHU ISA, Lei (Leina'ala)","","C","29","4","15"
"01-03","","3","1023","469","1","120","At-Large Trustee","","222","AKANA, Rowena Noelani","","C","72","9","30"
"01-03","","3","1023","469","1","120","At-Large Trustee","","223","AMSTERDAM, C. Kaui Jochanan","","C","7","2","6"
"01-03","","3","1023","469","1","120","At-Large Trustee","","224","LEE, Brendon Kalei'aina","","C","34","9","12"
"01-03","","3","1023","469","1","120","At-Large Trustee","","225","PAIKAI, Landen D.K.K.","","C","9","1","10"
"01-03","","3","1023","469","1","120","At-Large Trustee","","226","RYAN, Pohai","","C","12","1","11"
"01-03","","3","1023","469","1","120","At-Large Trustee","","227","PA'ALUHI, Marc Kalai","","C","10","1","3"
"01-03","","3","1023","469","1","120","At-Large Trustee","","228","AILA, William J., Jr.","","C","35","6","12"
"01-03","","3","1023","469","1","120","At-Large Trustee","","229","AKINA, Alvin A. (Auhana)","","C","17","3","9"
"01-03","","3","1023","469","1","120","At-Large Trustee","","230","HANOHANO, Faye (Pua)","","C","63","9","35"
"01-03","","3","1023","469","1","120","At-Large Trustee","","231","MAKEKAU, Keali'i","","C","25","3","13"
"01-03","","3","1023","469","1","120","At-Large Trustee","","232","PARIS, Makana","","C","32","4","13"
"01-03","","3","1023","469","1","120","At-Large Trustee","","233","WAIHEE, John D., IV","","C","97","8","33"
"01-03","","3","1023","469","1","120","At-Large Trustee","","234","PUUOHAU, Kali","","C","3","1","3"
"01-03","","3","1023","469","1","120","At-Large Trustee","","235","SHARSH-DAVIS, Lei","","C","7","1","7"
"01-03","","3","1023","469","1","121","Councilmember, Dist 1","","236","POINDEXTER, Valerie T.","","C","207","33","102"
"01-03","","3","1023","469","1","121","Councilmember, Dist 1","","237","SADEGH, Abolghassem A.","","C","43","2","31"
"01-04","","4","303","137","1","2","U.S. Senator - D","","7","HIRONO, Mazie K.","","C","49","17","28"
"01-04","","4","303","137","1","3","U.S. Senator - N","","8","REYES, Arturo Pacheco","","C","0","0","1"
"01-04","","4","303","137","1","3","U.S. Senator - N","","9","HAVERTY, Charles (Charlie)","","C","1","0","0"
"01-04","","4","303","137","1","3","U.S. Senator - N","","10","MAERTENS, Matthew K.","","C","0","0","0"
"01-04","","4","303","137","1","4","U.S. Senator - R","","11","ANDERSON, Consuelo","","C","0","0","1"
"01-04","","4","303","137","1","4","U.S. Senator - R","","12","HELSHAM, Robert C., Sr.","","C","0","0","0"
"01-04","","4","303","137","1","4","U.S. Senator - R","","13","WHITE, Thomas E.","","C","0","1","0"
"01-04","","4","303","137","1","4","U.S. Senator - R","","14","DE LA FUENTE, Rocky Mamaka","","C","2","0","0"
"01-04","","4","303","137","1","4","U.S. Senator - R","","15","CURTIS, Ron","","C","1","0","0"
"01-04","","4","303","137","1","4","U.S. Senator - R","","16","HODGKISS, Michael R.","","C","0","0","0"
"01-04","","4","303","137","1","4","U.S. Senator - R","","17","BERISH, George L.","","C","0","0","0"
"01-04","","4","303","137","1","4","U.S. Senator - R","","18","PIRKOWSKI, Eddie","","C","1","0","0"
"01-04","","4","303","137","1","10","U.S. Representative, Dist II - D","","32","AUSTIN, Anthony Tony","","C","4","1","2"
"01-04","","4","303","137","1","10","U.S. Representative, Dist II - D","","33","GABBARD, Tulsi","","C","41","15","32"
"01-04","","4","303","137","1","10","U.S. Representative, Dist II - D","","34","ALU CAMPAGNA, Sherry","","C","14","4","8"
"01-04","","4","303","137","1","11","U.S. Representative, Dist II - R","","35","EVANS, Brian","","C","2","1","0"
"01-04","","4","303","137","1","12","Governor - G","","36","BREWER, Jim","","C","0","0","0"
"01-04","","4","303","137","1","13","Governor - D","","37","CARAVALHO, Ernest","","C","1","1","0"
"01-04","","4","303","137","1","13","Governor - D","","38","KA'EHU'AE'A, Wendell J.","","C","3","4","2"
"01-04","","4","303","137","1","13","Governor - D","","39","TANABE, Van (Tanaban)","","C","0","0","0"
"01-04","","4","303","137","1","13","Governor - D","","40","IGE, David Y.","","C","36","8","28"
"01-04","","4","303","137","1","13","Governor - D","","41","HANABUSA, Colleen Wakako","","C","19","8","14"
"01-04","","4","303","137","1","13","Governor - D","","42","KIM, Richard Y.","","C","0","0","0"
"01-04","","4","303","137","1","14","Governor - N","","43","TERUYA, Terrence K.","","C","0","0","0"
"01-04","","4","303","137","1","14","Governor - N","","44","BLACKWELL, Selina T.","","C","0","0","1"
"01-04","","4","303","137","1","14","Governor - N","","45","EL, Link","","C","1","0","0"
"01-04","","4","303","137","1","15","Governor - R","","46","TUPOLA, Andria","","C","1","1","1"
"01-04","","4","303","137","1","15","Governor - R","","47","CARROLL, John","","C","3","0","0"
"01-04","","4","303","137","1","15","Governor - R","","48","LHEUREUX, Ray","","C","0","0","1"
"01-04","","4","303","137","1","16","Lieutenant Governor - G","","49","ING, Renee","","C","0","0","0"
"01-04","","4","303","137","1","17","Lieutenant Governor - D","","50","GREEN, Josh","","C","36","8","23"
"01-04","","4","303","137","1","17","Lieutenant Governor - D","","51","TOKUDA, Jill N.","","C","6","7","3"
"01-04","","4","303","137","1","17","Lieutenant Governor - D","","52","CARVALHO, Bernard P., Jr.","","C","5","2","9"
"01-04","","4","303","137","1","17","Lieutenant Governor - D","","53","IWAMOTO, Kim Coco","","C","11","0","8"
"01-04","","4","303","137","1","17","Lieutenant Governor - D","","54","ESPERO, Will","","C","1","1","0"
"01-04","","4","303","137","1","18","Lieutenant Governor - N","","55","ROBOTTI, Paul F.","","C","1","0","1"
"01-04","","4","303","137","1","18","Lieutenant Governor - N","","56","MAGAOAY, Ernest G.","","C","0","0","0"
"01-04","","4","303","137","1","19","Lieutenant Governor - R","","57","LIPSCOMB, Steve","","C","3","1","0"
"01-04","","4","303","137","1","19","Lieutenant Governor - R","","58","KERNS, Marissa Dipasupil","","C","1","0","2"
"01-04","","4","303","137","1","19","Lieutenant Governor - R","","59","LOW, Jeremy","","C","0","0","0"
"01-04","","4","303","137","1","24","State Senator, Dist 4 - D","","65","INOUYE, Lorraine Rodero","","C","19","11","12"
"01-04","","4","303","137","1","24","State Senator, Dist 4 - D","","66","KIMBALL, Heather L.","","C","40","10","32"
"01-04","","4","303","137","1","41","State Representative, Dist 1 - D","","93","NAKASHIMA, Mark M.","","C","35","15","20"
"01-04","","4","303","137","1","41","State Representative, Dist 1 - D","","94","PAIK-MANDER, Koohan","","C","22","6","19"
"01-04","","4","303","137","1","119","Oahu Resident Trustee","","214","KIA'AINA, Esther","","C","3","6","5"
"01-04","","4","303","137","1","119","Oahu Resident Trustee","","215","KING, Samuel Wilder, II","","C","11","2","0"
"01-04","","4","303","137","1","119","Oahu Resident Trustee","","216","AKAKA, Kalei","","C","6","3","8"
"01-04","","4","303","137","1","119","Oahu Resident Trustee","","217","BURKE, Jackie Kahookele","","C","4","1","1"
"01-04","","4","303","137","1","119","Oahu Resident Trustee","","218","MOSSMAN, Paul","","C","8","0","3"
"01-04","","4","303","137","1","119","Oahu Resident Trustee","","219","KALIMA, Leona Mapuana","","C","5","0","2"
"01-04","","4","303","137","1","119","Oahu Resident Trustee","","220","MURRAY, Francine Kanani","","C","4","2","4"
"01-04","","4","303","137","1","120","At-Large Trustee","","221","AHU ISA, Lei (Leina'ala)","","C","7","4","4"
"01-04","","4","303","137","1","120","At-Large Trustee","","222","AKANA, Rowena Noelani","","C","12","3","11"
